fea_name,train_mean,train_median,validation_mean,validation_median,test_mean,test_median,mean_range_across_splits,median_range_across_splits,max_abs_mean_deviation_from_pooled,max_abs_median_deviation_from_pooled
LowerLipDepressorR,0.03262209114559671,1.4141468486668363e-12,0.05598215882372292,2.6993465795932536e-10,0.05943732559719164,6.682743469710317e-09,0.026815234451594935,6.68132932286165e-09,0.01573834697111927,6.637950107982182e-09
UpperLipRaiserL,0.1216749406697659,0.0108330454677343,0.1293945445230217,0.030915052630007198,0.14788320859555143,0.028342539444565752,0.026208267925785525,0.020082007162272895,0.01875095885835623,0.015191152691841098
JawDrop,0.10525266768300487,0.0114871552214026,0.1037994071904006,0.010865643620491,0.12904302305870152,0.027220087125897352,0.025243615868300928,0.016354443505406352,0.01890717700721914,0.014172961004078352
EyesClosedL,0.03340232356793325,5.587935447692871e-09,0.058315034019217435,7.767230272293091e-07,0.04338864425443837,1.1459107551736736e-09,0.024912710451284188,7.755771164741354e-07,0.017173148932324522,7.591032522569208e-07
EyesLookDownR,0.04265667042763149,5.453983398240325e-08,0.048161071827801064,3.863815933868864e-09,0.024325397013080854,2.2239425437675267e-19,0.02383567481472021,5.453983398218086e-08,0.01554608128274123,5.406282235775883e-08
EyesLookLeftR,0.12155994716522854,0.06769215315580365,0.10927426087426893,0.0628779605031013,0.09879651454977996,0.05187468789517875,0.02276343261544858,0.0158174652606249,0.015042201144308445,0.01074167154729365
EyesClosedR,0.03376642300147898,2.9994273731404064e-08,0.05593861348162543,2.5109238244169774e-08,0.04853030051744213,1.387670636177063e-07,0.02217219048014645,1.1365782537353653e-07,0.01399787719937607,9.870899120301146e-08
LipCornerPullerL,0.10138464860369135,8.243666343332734e-06,0.10638255029395807,8.657341822981834e-05,0.12235881778330486,0.0098360013216733,0.020974169179613505,0.009827757655329967,0.015269231078486337,0.00958535780955565
LipCornerPullerR,0.10428525571325312,1.2238067625958138e-07,0.10943770509867978,1.4112457620285568e-06,0.1248447359029421,0.0057180826552211995,0.020559480189688978,0.00571796027454494,0.014910854523741274,0.005714345075034519
EyesLookLeftL,0.07371775773306247,0.0,0.06277701307062021,0.0,0.05404187459834031,0.0,0.019675883134722155,0.0,0.012930271947712749,0.0
EyesLookRightR,0.05258150401768325,0.0,0.05581830496919318,0.0,0.03965996066069907,0.0,0.01615834430849411,0.0,0.010814898873713362,0.0
LipSuckLT,0.03995069166065113,2.7701812541636173e-05,0.035147510950634175,0.0054694497957825,0.049895260280162015,0.0108656426891684,0.01474774932952784,0.010837940876626763,0.00883870737757772,0.006605693604797099
EyesLookRightL,0.09145234097967708,0.01971801463514565,0.09587502664378657,0.0239182971417903,0.08133710979754201,0.0351522658020257,0.014537916846244558,0.015434251166880048,0.008887192151350545,0.010790764354169348
LipSuckRT,0.034298765580685286,3.2170476060855435e-06,0.030184486983828536,0.00035499232762955,0.043306807568333786,0.010645586065948,0.01312232058450525,0.010642369018341915,0.007953587667126623,0.010367813069024201
LipPuckerL,0.041138020135097444,4.5483171007276724e-08,0.054007936254961024,8.750025244808057e-06,0.05250258055393773,3.0667511907722655e-07,0.01286991611986358,8.70454207380078e-06,0.00751338945832964,8.53983624438115e-06
LipPuckerR,0.04174658479361221,3.350110855393495e-09,0.0539310048894267,2.2849455660889367e-07,0.05240155007980943,1.3037918744629451e-08,0.01218442009581449,2.2514444575350017e-07,0.007136024835205854,2.1509502179384304e-07
LipTightenerL,0.02395033713389372,1.047911906128231e-16,0.035525289342871476,1.3035327483222614e-12,0.027272076453687427,1.691920677690561e-15,0.011574952208977755,1.3034279571316486e-12,0.008267497626847788,1.3022238580609016e-12
LipTightenerR,0.021632010394143843,1.890177182855123e-17,0.03204682305190365,1.616002068367404e-18,0.025334664666402027,7.922385976546565e-16,0.010414812657759807,7.906225955862891e-16,0.007282614517544916,7.622577457182211e-16
LipPressorL,0.003358633606532978,4.395538265036761e-22,0.005827404781988816,6.037243213422787e-17,0.01026138714754072,2.564980580023073e-18,0.006902753541007741,6.037199258040136e-17,0.004841538867555846,6.033392920800576e-17
LipPressorR,0.003389816859532798,8.414360548624042e-23,0.005767519039125676,3.7738272062812116e-20,0.010200284368808573,2.1788819315974884e-18,0.006810467509275775,2.178797787992002e-18,0.004789754100098299,2.1755051414320995e-18
LipsToward,0.032355534918872574,0.0193743966519832,0.03352446919947348,0.0188723169267177,0.03833879502024724,0.02743539679795495,0.00598326010137467,0.00856307987123725,0.004413073641414633,0.0065044350922107
JawThrust,0.03831511600387992,6.511466381198261e-06,0.03250183046025546,9.22014623938594e-06,0.03793029720659849,0.0017096074298024,0.005813285543624459,0.0017030959634212017,0.004433102312780331,0.0016802377977000837
LipFunnelerRT,0.01729800734719377,1.3479118537475243e-13,0.012137594869784095,5.901932415008915e-11,0.014713884160833272,6.8305027432769005e-12,0.005160412477409676,5.88845329647144e-11,0.0034443977882104883,5.754255026028249e-11
LipFunnelerRB,0.012473104428157036,1.4573504028978098e-42,0.007962952470911474,6.238598341062022e-36,0.00998771387390541,4.505266459284954e-34,0.004510151957245563,4.50526644471145e-34,0.002960710073605344,4.505062123862665e-34
LipFunnelerLB,0.012606081534427391,1.401298464324817e-45,0.008276239205584247,1.401298464324817e-45,0.009891877167032655,1.401298464324817e-45,0.004329842328843144,0.0,0.0027705148549115755,0.0
LipFunnelerLT,0.01740655716221435,1.5167649579893305e-12,0.013194585468027651,1.2387988856943366e-08,0.014869103235697923,7.133302976081168e-11,0.004211971694186698,1.2386472091985377e-08,0.00271760766032156,1.2340047872427817e-08
JawSidewaysRight,0.009138208990838484,0.00022006061044519998,0.010038465834640086,0.0058981892652808995,0.01306248578942666,0.0058954178821295,0.003924276798588176,0.0056781286548357,0.002864649980562727,0.0035379751352593494
JawSidewaysLeft,0.007286329836261644,2.354309414087651e-09,0.008659189069584216,1.9403876194701297e-07,0.009694505239738275,1.5744046066856757e-07,0.002408175403476631,1.9168445253292532e-07,0.0015750305816217627,1.7691547959941545e-07
MouthLeft,0.004019376327701882,1.3991003910973632e-08,0.004411780323535955,2.3060206899572222e-07,0.006019571995586086,5.177942512091249e-05,0.0020001956678842043,5.176543411700152e-05,0.0014749209134798345,5.14661779789094e-05
MouthRight,0.0013033219635895303,2.3043853720213374e-24,0.0010246134797116777,7.343189360162862e-23,0.002881814026564791,6.24798146163161e-13,0.0018572005468531134,6.247981461608565e-13,0.0012951294494768966,6.2479814344666e-13
CheekPuffR,0.004386142728766446,2.6193134575365484e-13,0.003864635051825747,6.777751537095922e-12,0.0048864642360401545,3.74633570693339e-11,0.0010218291842144073,3.720142572358025e-11,0.000514756706545385,3.529939014701444e-11
CheekPuffL,0.003943549169475119,3.3526424637799624e-14,0.003332780276723153,2.2020857359805746e-12,0.004138589195720043,5.676201154068695e-13,0.0008058089189968902,2.168559311342775e-12,0.0005172999328278633,2.0284645816347202e-12
CheekSuckL,0.0008573246291557217,1.401298464324817e-45,0.0005520716379366083,1.401298464324817e-45,0.0012167664499469096,1.401298464324817e-45,0.0006646948120103013,0.0,0.00034881842377919585,0.0
CheekSuckR,0.0010082607276567593,0.0,0.0005168147055000405,0.0,0.001040399380357794,1.401298464324817e-45,0.0005235846748577536,1.401298464324817e-45,0.0003889223928519442,1.401298464324817e-45
