fea_name,n,missing,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,iqr,p99_p01,fraction_eq_0,fraction_le_0_01,fraction_le_0_05,fraction_ge_0_95,fraction_ge_0_99,n_unique
EyesClosedR,51810,0,0.04194073628224936,4.0058072414694834e-08,0.13400839546152649,0.0,0.0,0.0,3.9586681617176087e-44,0.0162852685898542,0.22768142223358093,0.837387204170227,1.0,0.0162852685898542,0.837387204170227,0.22416521906967768,0.7228527311329859,0.8453387376954256,0.005809689249179695,0.0037637521713954833,32764
EyesLookDownL,51810,0,0.0390280070778293,8.998392309056412e-11,0.08239214383763516,0.0,0.0,0.0,1.2236138190484303e-41,0.02807646570727225,0.24600046202540393,0.3603498041629791,0.4486598670482635,0.02807646570727225,0.3603498041629791,0.24833043813935535,0.6848098822621116,0.7909669947886508,0.0,0.0,34279
EyesLookDownR,51810,0,0.039871478295822084,4.770116246444187e-10,0.08365935879378873,0.0,0.0,0.0,0.0,0.028531247749924625,0.25426281392574257,0.3660406360030174,0.4435893595218658,0.028531247749924625,0.3660406360030174,0.25956379077398184,0.6864118895966029,0.7845203628643119,0.0,0.0,33707
EyesLookLeftL,51810,0,0.06697214654605306,0.0,0.10553953576415158,0.0,0.0,0.0,0.0,0.1107280254364013,0.30392656177282323,0.41788978397846205,0.8068109750747681,0.1107280254364013,0.41788978397846205,0.5508975101331789,0.571955220999807,0.6498745415942868,0.0,0.0,19810
EyesLookLeftR,51810,0,0.1138387156940884,0.0626163594424724,0.13410945387085896,0.0,0.0,0.0,0.0,0.19729688391089434,0.38889401406049706,0.502507155537605,0.8820091485977173,0.19729688391089434,0.502507155537605,0.36489094769349545,0.38608376761243,0.4732870102296854,0.0,0.0,28072
EyesLookRightL,51810,0,0.09022430194889255,0.02436150144785635,0.12060654461634461,0.0,0.0,0.0,0.0,0.15631752461194987,0.35723913460969914,0.44127139329910264,0.6512433886528015,0.15631752461194987,0.44127139329910264,0.44910248986682105,0.4697741748697163,0.5551244933410538,0.0,0.0,24496
EyesLookRightR,51810,0,0.050474859534412435,0.0,0.09074833950117846,0.0,0.0,0.0,0.0,0.06935608945786953,0.271716958284378,0.35612613350152955,0.5684821605682373,0.06935608945786953,0.35612613350152955,0.6351090523065045,0.6552596023933603,0.7188573634433507,0.0,0.0,16228
EyesLookUpL,51810,0,0.0431062295285929,0.0,0.10105886094081963,0.0,0.0,0.0,0.0,0.0,0.2863685578107833,0.45449523419141613,0.7461683750152588,0.0,0.45449523419141613,0.7569774174869717,0.7681142636556649,0.8028179888052499,0.0,0.0,10769
EyesLookUpR,51810,0,0.043091092774990195,0.0,0.10103542694010158,0.0,0.0,0.0,0.0,0.0,0.2875754758715629,0.4553137874603266,0.747900664806366,0.0,0.4553137874603266,0.7569774174869717,0.7680949623624783,0.8028179888052499,0.0,0.0,10768
InnerBrowRaiserL,51810,0,0.0833758013856785,0.0243390826508402,0.14894647636012226,2.6874662013047394e-31,6.965172508172742e-15,5.799190088140469e-08,0.0012519369774963,0.08995146676898,0.40842324793338647,0.7625771689414973,1.0,0.0886995297914837,0.7625771689414903,0.0,0.3805056938814901,0.6425786527697356,0.0018143215595444896,0.001408994402624976,45590
InnerBrowRaiserR,51810,0,0.0843271112591837,0.023220382630825,0.1526810840660048,2.802596928649634e-45,2.2264581260560815e-15,8.35317877090347e-08,0.0012405996094456999,0.0882343370467424,0.4298697412014006,0.7872802984714488,1.0,0.0869937374372967,0.7872802984714465,0.0,0.3890368654699865,0.639799266550859,0.0019301293186643506,0.0015634047481181239,45580
JawDrop,51810,0,0.11013584605148238,0.013047126121819,0.18465818099308076,1.401298464324817e-45,1.263154414836509e-27,6.5442073401343576e-15,0.002135319227818325,0.13588053360581398,0.5360371172428129,0.7991544443368906,1.0,0.13374521437799566,0.7991544443368906,0.0,0.3560316541208261,0.6382551630959274,0.002528469407450299,0.0013896931094383323,43882
JawSidewaysLeft,51810,0,0.008119474658116512,1.7123282347597524e-08,0.023170419156055194,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,4.4981565756726565e-18,0.009584587998688176,0.038907634839415346,0.09675284512340947,0.6955256462097168,0.00958458799868817,0.09675284512340947,0.0,0.7577108666280641,0.9584057131827832,0.0,0.0,40413
JawSidewaysRight,51810,0,0.010197835808863933,0.00236021413002155,0.025234327288262807,1.401298464324817e-45,1.401298464324817e-45,3.4038036072233954e-31,1.7593383971892251e-09,0.0108636058866977,0.03802588470280165,0.09768272832035901,0.4708434641361236,0.010863604127359303,0.09768272832035901,0.0,0.609959467284308,0.9612816058675931,0.0,0.0,39026
JawThrust,51810,0,0.03693493277303579,2.9369632102316245e-05,0.08751645025141086,1.401298464324817e-45,1.401298464324817e-45,4.028868821958478e-33,5.06941602411437e-13,0.02503131469711655,0.21358622536063182,0.4449906578660009,0.9552235007286072,0.02503131469660961,0.4449906578660009,0.0,0.640764331210191,0.8097664543524417,3.860258637328701e-05,0.0,43620
LidTightenerL,51810,0,0.13259608240562928,0.02664542291313405,0.19159025386989842,1.401298464324817e-45,1.9070283625679976e-35,9.952097808478699e-19,1.0247189948131563e-05,0.2175773493945598,0.5613130182027817,0.7537263906002041,1.0,0.21756710220461167,0.7537263906002041,0.0,0.42534259795406293,0.5613781123335263,0.0006562439683458792,0.0006369426751592356,45429
LidTightenerR,51810,0,0.14271863347981964,0.0262621324509382,0.2079461533556369,1.401298464324817e-45,7.560332582845057e-32,5.471408495608554e-17,2.2723065285390476e-05,0.2306497246026992,0.6088333040475844,0.7983176523447024,0.9999501705169678,0.2306270015374138,0.7983176523447024,0.0,0.4306697548735765,0.5592742713761822,0.0007913530206523837,0.00021231422505307856,45501
LipCornerDepressorL,51810,0,0.09117954223488793,0.008625824935734251,0.20754371431578086,1.401298464324817e-45,1.401298464324817e-45,2.9885011536837904e-25,9.631764186224245e-08,0.030801211018115227,0.6679276943206782,0.9019439220428468,1.0,0.030801114700473364,0.9019439220428468,0.0,0.5204207681914689,0.7794441227562247,0.005655278903686547,0.0033005211349160395,42299
LipCornerDepressorR,51810,0,0.08475698217523817,0.00011473084305175,0.20230102190590957,1.401298464324817e-45,1.401298464324817e-45,5.071318424258393e-38,6.015556671225882e-14,0.025010481942444974,0.6454732388257977,0.881436921954154,1.0,0.025010481942384817,0.881436921954154,0.0,0.6385060799073538,0.7970662034356302,0.003956765103261918,0.0026056745801968733,42912
LipCornerPullerL,51810,0,0.10708958670481852,0.00025064351211765,0.2533357805082179,1.401298464324817e-45,1.401298464324817e-45,1.263736224075018e-38,4.483852762552417e-14,0.0278241466730833,0.8376603811979293,1.0,1.0,0.02782414667303846,1.0,0.0,0.606929164254005,0.7865469986489094,0.028006176413819726,0.019918934568616098,42466
LipCornerPullerR,51810,0,0.10993388137920082,3.737580186680134e-06,0.2598434488837671,1.401298464324817e-45,1.401298464324817e-45,3.0828566215145976e-44,3.722605164835162e-18,0.027842078357934924,0.8638249069452285,1.0,1.0,0.02784207835793492,1.0,0.0,0.6391044199961398,0.7835552982049797,0.03258058289905424,0.026249758733835168,41644
LipFunnelerLB,51810,0,0.011046754060495823,1.401298464324817e-45,0.06878263548260402,0.0,0.0,0.0,1.401298464324817e-45,2.87477744241504e-20,0.0172102116048336,0.3255647251009935,1.0,2.87477744241504e-20,0.3255647251009935,0.05670719938235862,0.9412854661262304,0.9620729588882455,0.0010036672457054622,0.0009071607797722448,18910
LipFunnelerLT,51810,0,0.01591219312834921,4.7940984515548735e-11,0.05594689117438838,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,4.381147789461933e-24,0.0050351779209449506,0.0884756445884704,0.29880723506212226,0.9426304697990416,0.0050351779209449506,0.29880723506212226,0.0,0.7869909283922023,0.9279289712410731,0.0,0.0,38483
LipFunnelerRB,51810,0,0.010923662544516818,2.0433542228894867e-38,0.06747601931556084,0.0,0.0,1.401298464324817e-45,1.401298464324817e-45,2.2136584015494676e-13,0.016899562533944763,0.31512041330337515,1.0,2.2136584015494676e-13,0.31512041330337515,0.026732291063501255,0.9351862574792511,0.962265971820112,0.0009264620729588882,0.0008878594865856012,23953
LipFunnelerRT,51810,0,0.015581992657994584,1.4767738898066596e-12,0.055533712183803756,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.589049860744717e-26,0.0003101737529505,0.08863698057830309,0.29553016811609,0.9269152283668518,0.0003101737529505,0.29553016811609,0.0,0.8103261918548543,0.9259216367496622,0.0,0.0,38383
LipPressorL,51810,0,0.0054198482799848735,3.850292622210923e-20,0.03439603316611602,0.0,0.0,1.401298464324817e-45,5.044674471569341e-44,4.762216176956713e-09,0.010865643620491,0.15845179557800085,0.6380583047866821,4.762216176956713e-09,0.15845179557800085,0.011001737116386797,0.9082416521906967,0.9787685774946921,0.0,0.0,32665
LipPressorR,51810,0,0.005410530268710274,3.3767901653888833e-21,0.03455358453297661,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,3.5441563572824464e-09,0.010865643620491,0.1579703600704662,0.6388714909553528,3.5441563572824464e-09,0.1579703600704662,0.0,0.9111561474618799,0.9786334684423856,0.0,0.0,31844
LipPuckerL,51810,0,0.046494546796631384,2.1018900042690802e-07,0.12971460660497092,1.401298464324817e-45,1.401298464324817e-45,8.954297187035659e-44,1.1959734638316297e-15,0.011224248446524126,0.2870581835508342,0.7069805914163558,1.0,0.01122424844652293,0.7069805914163558,0.0,0.6844817602779386,0.8262111561474619,0.0027793862188766646,0.002335456475583864,42457
LipPuckerR,51810,0,0.04679498005422084,1.3399534815050629e-08,0.13042727448447794,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.0123448065573851e-17,0.012307322816923226,0.2863446459174152,0.7091789227724054,1.0,0.012307322816923216,0.7091789227724054,0.0,0.7033777263076626,0.8199382358618027,0.002740783632503378,0.0023547577687705076,42517
LipStretcherL,51810,0,0.03693422719276149,0.0040800427086650996,0.09412212651279629,1.401298464324817e-45,1.401298464324817e-45,2.636776573405214e-29,3.6543665316024487e-10,0.0326475240290164,0.15347008109092702,0.536520929932594,1.0,0.032647523663579744,0.536520929932594,0.0,0.5616097278517661,0.8067554526153252,0.0011387762980119669,0.0010229685388921058,43500
LipStretcherR,51810,0,0.03926635684744047,0.0081475763581693,0.09813950347252784,1.401298464324817e-45,1.401298464324817e-45,2.466767328402375e-27,3.8437948379765885e-09,0.0343414489179849,0.15935266464948644,0.5634202623367278,1.0,0.03434144507419006,0.5634202623367278,0.0,0.5259988419224088,0.7965450685195908,0.001524802161744837,0.0011966801775718974,43336
LipSuckLB,51810,0,0.07918308409060504,0.0132886935025453,0.12018705060228893,1.401298464324817e-45,1.401298464324817e-45,9.125506936706754e-28,7.90965692942791e-09,0.12461384572088716,0.3286816403269766,0.5194237232208252,0.8890388011932373,0.12461383781123023,0.5194237232208252,0.0,0.45095541401273886,0.6206330824165219,0.0,0.0,44768
LipSuckLT,51810,0,0.041056552902584295,0.004259949084371301,0.07301236184489578,1.401298464324817e-45,1.401298464324817e-45,2.478883164098789e-30,4.5846977256291937e-11,0.054349181242287124,0.19508802443742732,0.31506698578596115,0.862289547920227,0.054349181196440145,0.31506698578596115,0.0,0.545531750627292,0.7399343756031654,0.0,0.0,43800
LipSuckRB,51810,0,0.06778176932715611,0.0109398956410586,0.10633740018600615,1.401298464324817e-45,1.401298464324817e-45,1.2881172248474492e-26,2.2321876791409068e-08,0.10140104405581947,0.28485312908887805,0.4834857285022735,0.8633459806442261,0.10140102173394268,0.4834857285022735,0.0,0.4437174290677475,0.6479251109824358,0.0,0.0,44548
LipSuckRT,51810,0,0.03535321990120716,0.0002777729969238,0.06672030534030954,1.401298464324817e-45,1.401298464324817e-45,1.7259179642900913e-32,2.78938515081012e-12,0.04069177340716122,0.17619161680340742,0.2890322303771958,0.8433194756507874,0.040691773404371835,0.2890322303771958,0.0,0.5963520555877244,0.7642926076047095,0.0,0.0,43793
LipTightenerL,51810,0,0.027257791716023688,1.308890261359798e-15,0.08721410923920618,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,6.01986011951051e-32,8.525150633431622e-06,0.19667358547449076,0.453196766078472,0.997130572795868,8.525150633431622e-06,0.453196766078472,0.0,0.8161551823972206,0.8732677089364987,0.0003667245705462266,9.650646593321752e-05,37730
LipTightenerR,51810,0,0.024764208534358734,2.9980851936435393e-17,0.0815398671910049,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.3095171423654569e-37,7.15502807224766e-07,0.18190953955054234,0.4346338099241254,0.9771435260772704,7.15502807224766e-07,0.4346338099241254,0.0,0.8314611078942289,0.8822235089751014,9.650646593321752e-05,0.0,35581
LipsToward,51810,0,0.03392572137883261,0.02093096170574425,0.0580342431046964,1.401298464324817e-45,1.5556984866993415e-10,0.0016207697452045402,0.0102985047269612,0.03504371084272855,0.1065916087478397,0.30908218622207567,1.0,0.024745206115767353,0.30908218606650584,0.0,0.24518432734993245,0.8665894614939201,0.00023161551823972206,0.00019301293186643504,44377
LowerLipDepressorL,51810,0,0.04508645735936293,6.41052206977466e-12,0.12641524568675142,0.0,1.401298464324817e-45,1.401298464324817e-45,2.866110086817984e-25,0.0031731309718452,0.3911632493138313,0.5547685873508439,1.0,0.0031731309718452,0.5547685873508439,0.0035321366531557616,0.7864697934761629,0.8559544489480795,0.00021231422505307856,0.00013510905230650454,40041
LowerLipDepressorR,51810,0,0.043698978626072374,4.479336172813486e-11,0.12283748053619474,0.0,1.401298464324817e-45,1.401298464324817e-45,4.996203211562966e-24,0.005576055496931,0.3803193822503089,0.5489698541164397,1.0,0.005576055496931,0.5489698541164397,0.0035321366531557616,0.7756803705848292,0.8596602972399151,0.00015441034549314804,0.00011580775911986103,40396
MouthLeft,51810,0,0.004544651082106252,3.1324714200309245e-07,0.010651445013016304,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,6.4594278642251805e-18,0.008447388885542676,0.026620432361960294,0.03708294052630659,0.3410068452358246,0.008447388885542669,0.03708294052630659,0.0,0.7718201119475004,0.9956186064466319,0.0,0.0,39416
MouthRight,51810,0,0.0015866845770878945,2.716500915457315e-21,0.0078990078930234,0.0,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.727006591067948e-07,0.0107840709388256,0.026788772884756194,0.2868486046791076,1.727006591067948e-07,0.026788772884756194,0.004053271569195136,0.9324068712603745,0.9966415749855241,0.0,0.0,30872
NoseWrinklerL,51810,0,0.07856209722982183,1.8627364539725025e-08,0.2079723678728134,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,3.304614367685023e-26,0.011915904469788,0.6282654970884319,0.9999999403953552,1.0,0.011915904469788,0.9999999403953552,0.0,0.6848098822621116,0.8179116000772052,0.018567844045551053,0.015865662999420962,39276
NoseWrinklerR,51810,0,0.07857109731585028,2.0586452681436995e-10,0.20949413613085274,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.6313501771526615e-24,0.01084550120867785,0.6287083029747009,1.0,1.0,0.01084550120867785,1.0,0.0,0.7393939393939394,0.8154024319629415,0.019455703532136652,0.016309592742713763,40277
OuterBrowRaiserL,51810,0,0.06183993905235443,0.003831083420664,0.1422068278310482,1.401298464324817e-45,2.802596928649634e-45,1.1346622245443947e-24,1.6088526990643004e-06,0.0480696056038141,0.36406115442514414,0.7445264816284165,0.9999999403953552,0.04806799675111503,0.7445264816284165,0.0,0.569195136074117,0.7551051920478672,0.0016020073344914108,0.0013896931094383323,44336
OuterBrowRaiserR,51810,0,0.07042065390931887,0.0107300346717238,0.14802808628446293,2.802596928649634e-45,4.408765408389921e-27,1.2483153616696395e-13,9.699587644718122e-05,0.0633372738957405,0.3904905453324315,0.7615433585643767,1.0,0.06324027801929331,0.7615433585643767,0.0,0.49226018143215594,0.7172360548156727,0.001640609920864698,0.0013896931094383323,45372
UpperLidRaiserL,51810,0,0.08900757142702573,1.0466390065744238e-07,0.19774091502755997,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,1.6318775849019892e-23,0.04310703650116915,0.6068579971790309,0.8774924808740614,0.9931721091270448,0.04310703650116915,0.8774924808740614,0.0,0.6575178536961976,0.7605674580196873,0.001524802161744837,3.860258637328701e-05,39021
UpperLidRaiserR,51810,0,0.11137463758757056,6.362186582009599e-07,0.21964556648991265,1.401298464324817e-45,1.401298464324817e-45,1.401298464324817e-45,2.6009347824174325e-27,0.08158693462610238,0.6752891540527344,0.8620462971925735,0.9982522130012512,0.08158693462610238,0.8620462971925735,0.0,0.6237598919127582,0.7204207681914688,0.0015441034549314803,0.00011580775911986103,36716
UpperLipRaiserL,51810,0,0.1291322497371952,0.0157238999381661,0.19607296857021514,1.401298464324817e-45,2.1734265298539768e-41,6.813175845493263e-24,1.3153020894662859e-08,0.20013587921857828,0.5830339342355725,0.7605952024459839,0.9999940991401672,0.2001358660655574,0.7605952024459839,0.0,0.4457826674387184,0.5839606253618993,0.00017371163867979154,9.650646593321752e-05,44908
UpperLipRaiserR,51810,0,0.13389220044110933,0.01718087866902345,0.2011136245881737,1.401298464324817e-45,1.0061793307910851e-36,3.065479520066784e-21,2.505572140876211e-07,0.20986942201852798,0.6003499984741211,0.7832518070936185,1.0,0.2098691714613139,0.7832518070936185,0.0,0.4268287975294345,0.5807180081065432,0.00023161551823972206,0.00017371163867979154,44911
