sequence_summary,representation,weighting,true_label,fea_name,value
mean,raw,sample_weighted,Sadness,InnerBrowRaiserL,0.08145372542142434
mean,raw,sample_weighted,Surprise,InnerBrowRaiserL,0.17267306632805898
mean,raw,sample_weighted,Anger,InnerBrowRaiserR,0.0582819800046507
mean,raw,sample_weighted,Disgust,InnerBrowRaiserR,0.05992479051067468
mean,raw,sample_weighted,Fear,InnerBrowRaiserR,0.16551643673005312
mean,raw,sample_weighted,Happiness,InnerBrowRaiserR,0.042108903689328785
mean,raw,sample_weighted,Neutral,InnerBrowRaiserR,0.0172381796786756
mean,raw,sample_weighted,Sadness,InnerBrowRaiserR,0.0806984696760387
mean,raw,sample_weighted,Surprise,InnerBrowRaiserR,0.1782695358544127
mean,raw,sample_weighted,Anger,JawDrop,0.040781895003790744
mean,raw,sample_weighted,Disgust,JawDrop,0.08006996367661344
mean,raw,sample_weighted,Fear,JawDrop,0.17847839831748416
mean,raw,sample_weighted,Happiness,JawDrop,0.08428615109682995
mean,raw,sample_weighted,Neutral,JawDrop,0.013873865490748075
mean,raw,sample_weighted,Sadness,JawDrop,0.033177679091322874
mean,raw,sample_weighted,Surprise,JawDrop,0.3220097643359583
mean,raw,sample_weighted,Anger,JawSidewaysLeft,0.014503100675245257
mean,raw,sample_weighted,Disgust,JawSidewaysLeft,0.008041137233241836
mean,raw,sample_weighted,Fear,JawSidewaysLeft,0.002356615165762287
mean,raw,sample_weighted,Happiness,JawSidewaysLeft,0.000964393121555955
mean,raw,sample_weighted,Neutral,JawSidewaysLeft,0.0004748437560401376
mean,raw,sample_weighted,Sadness,JawSidewaysLeft,0.020027116520405265
mean,raw,sample_weighted,Surprise,JawSidewaysLeft,0.014384933893237755
mean,raw,sample_weighted,Anger,JawSidewaysRight,0.016062628103889462
mean,raw,sample_weighted,Disgust,JawSidewaysRight,0.008246509496202217
mean,raw,sample_weighted,Fear,JawSidewaysRight,0.004144730991007386
mean,raw,sample_weighted,Happiness,JawSidewaysRight,0.0069019475783567074
mean,raw,sample_weighted,Neutral,JawSidewaysRight,0.0007231788150997557
mean,raw,sample_weighted,Sadness,JawSidewaysRight,0.01868019716337305
mean,raw,sample_weighted,Surprise,JawSidewaysRight,0.01921207216304639
mean,raw,sample_weighted,Anger,JawThrust,0.02646016576893643
mean,raw,sample_weighted,Disgust,JawThrust,0.02466994087745948
mean,raw,sample_weighted,Fear,JawThrust,0.03415828804226623
mean,raw,sample_weighted,Happiness,JawThrust,0.009428085618018726
mean,raw,sample_weighted,Neutral,JawThrust,0.006874277560084202
mean,raw,sample_weighted,Sadness,JawThrust,0.05951370729479086
mean,raw,sample_weighted,Surprise,JawThrust,0.09760008666810975
mean,raw,sample_weighted,Anger,LidTightenerL,0.2754510469487265
mean,raw,sample_weighted,Disgust,LidTightenerL,0.2929319108068154
mean,raw,sample_weighted,Fear,LidTightenerL,0.06369938883597279
mean,raw,sample_weighted,Happiness,LidTightenerL,0.19489448274913854
mean,raw,sample_weighted,Neutral,LidTightenerL,0.03234815089509601
mean,raw,sample_weighted,Sadness,LidTightenerL,0.0940073549423119
mean,raw,sample_weighted,Surprise,LidTightenerL,0.051318699368550165
mean,raw,sample_weighted,Anger,LidTightenerR,0.2824473911245644
mean,raw,sample_weighted,Disgust,LidTightenerR,0.29464962429301794
mean,raw,sample_weighted,Fear,LidTightenerR,0.08474418623363973
mean,raw,sample_weighted,Happiness,LidTightenerR,0.1931020673525407
mean,raw,sample_weighted,Neutral,LidTightenerR,0.04299256162602392
mean,raw,sample_weighted,Sadness,LidTightenerR,0.11522767868044283
mean,raw,sample_weighted,Surprise,LidTightenerR,0.06405506422203643
mean,raw,sample_weighted,Anger,LipCornerDepressorL,0.09969012108853871
mean,raw,sample_weighted,Disgust,LipCornerDepressorL,0.14598903523081355
mean,raw,sample_weighted,Fear,LipCornerDepressorL,0.03360264545381465
mean,raw,sample_weighted,Happiness,LipCornerDepressorL,0.008544552895728152
mean,raw,sample_weighted,Neutral,LipCornerDepressorL,0.006922261337153588
mean,raw,sample_weighted,Sadness,LipCornerDepressorL,0.3832665832487891
mean,raw,sample_weighted,Surprise,LipCornerDepressorL,0.019078604522214816
mean,raw,sample_weighted,Anger,LipCornerDepressorR,0.09078645368798392
mean,raw,sample_weighted,Disgust,LipCornerDepressorR,0.1313281667710126
mean,raw,sample_weighted,Fear,LipCornerDepressorR,0.027797100727641216
mean,raw,sample_weighted,Happiness,LipCornerDepressorR,0.006183697943855212
mean,raw,sample_weighted,Neutral,LipCornerDepressorR,0.004727957973395093
mean,raw,sample_weighted,Sadness,LipCornerDepressorR,0.3715296023788398
mean,raw,sample_weighted,Surprise,LipCornerDepressorR,0.015515612038801547
mean,raw,sample_weighted,Anger,LipCornerPullerL,0.045950929923635524
mean,raw,sample_weighted,Disgust,LipCornerPullerL,0.058293777441224714
mean,raw,sample_weighted,Fear,LipCornerPullerL,0.03150733663950656
mean,raw,sample_weighted,Happiness,LipCornerPullerL,0.4878775261431751
mean,raw,sample_weighted,Neutral,LipCornerPullerL,0.012594787048766218
mean,raw,sample_weighted,Sadness,LipCornerPullerL,0.016081794229118124
mean,raw,sample_weighted,Surprise,LipCornerPullerL,0.013462110771420533
mean,raw,sample_weighted,Anger,LipCornerPullerR,0.04817573640587602
mean,raw,sample_weighted,Disgust,LipCornerPullerR,0.05812043108675439
mean,raw,sample_weighted,Fear,LipCornerPullerR,0.03312553333384415
mean,raw,sample_weighted,Happiness,LipCornerPullerR,0.5018601198680409
mean,raw,sample_weighted,Neutral,LipCornerPullerR,0.01314927469808331
mean,raw,sample_weighted,Sadness,LipCornerPullerR,0.01556537639851861
mean,raw,sample_weighted,Surprise,LipCornerPullerR,0.013364341012218759
mean,raw,sample_weighted,Anger,LipFunnelerLB,0.0009335520562495444
mean,raw,sample_weighted,Disgust,LipFunnelerLB,0.0012501926233699616
mean,raw,sample_weighted,Fear,LipFunnelerLB,0.0011089210795719336
mean,raw,sample_weighted,Happiness,LipFunnelerLB,5.0853462813172046e-05
mean,raw,sample_weighted,Neutral,LipFunnelerLB,0.00011693180126304786
mean,raw,sample_weighted,Sadness,LipFunnelerLB,0.053220608146765186
mean,raw,sample_weighted,Surprise,LipFunnelerLB,0.019890710935299184
mean,raw,sample_weighted,Anger,LipFunnelerLT,0.015861341410580557
mean,raw,sample_weighted,Disgust,LipFunnelerLT,0.006113030259661336
mean,raw,sample_weighted,Fear,LipFunnelerLT,0.0026011276334012676
mean,raw,sample_weighted,Happiness,LipFunnelerLT,0.0016840838856151885
mean,raw,sample_weighted,Neutral,LipFunnelerLT,0.00044513619969782496
mean,raw,sample_weighted,Sadness,LipFunnelerLT,0.04258312980881297
mean,raw,sample_weighted,Surprise,LipFunnelerLT,0.04269303946819886
mean,raw,sample_weighted,Anger,LipFunnelerRB,0.0012702698583934376
mean,raw,sample_weighted,Disgust,LipFunnelerRB,0.0013583830576936141
mean,raw,sample_weighted,Fear,LipFunnelerRB,0.0011558101954328526
mean,raw,sample_weighted,Happiness,LipFunnelerRB,0.00013626638890477583
mean,raw,sample_weighted,Neutral,LipFunnelerRB,0.0002501874337784868
mean,raw,sample_weighted,Sadness,LipFunnelerRB,0.05353728109393408
mean,raw,sample_weighted,Surprise,LipFunnelerRB,0.018300786648447975
mean,raw,sample_weighted,Anger,LipFunnelerRT,0.013839885850011443
mean,raw,sample_weighted,Disgust,LipFunnelerRT,0.004429392979630111
mean,raw,sample_weighted,Fear,LipFunnelerRT,0.0029019512853003366
mean,raw,sample_weighted,Happiness,LipFunnelerRT,0.0008640501357649385
mean,raw,sample_weighted,Neutral,LipFunnelerRT,0.0007428317395402674
mean,raw,sample_weighted,Sadness,LipFunnelerRT,0.043666052728609246
mean,raw,sample_weighted,Surprise,LipFunnelerRT,0.04258408396780568
mean,raw,sample_weighted,Anger,LipPressorL,0.013784446760554514
mean,raw,sample_weighted,Disgust,LipPressorL,0.016959409985929545
mean,raw,sample_weighted,Fear,LipPressorL,0.0006630420417242247
mean,raw,sample_weighted,Happiness,LipPressorL,0.0002157819670068407
mean,raw,sample_weighted,Neutral,LipPressorL,2.332568687911982e-05
mean,raw,sample_weighted,Sadness,LipPressorL,0.011617906121765897
mean,raw,sample_weighted,Surprise,LipPressorL,0.0013071301529033485
mean,raw,sample_weighted,Anger,LipPressorR,0.01398942933642271
mean,raw,sample_weighted,Disgust,LipPressorR,0.016848156831365375
mean,raw,sample_weighted,Fear,LipPressorR,0.0006574538129558093
mean,raw,sample_weighted,Happiness,LipPressorR,0.0010905109173369523
mean,raw,sample_weighted,Neutral,LipPressorR,2.4318147926919354e-05
mean,raw,sample_weighted,Sadness,LipPressorR,0.01040761522314756
mean,raw,sample_weighted,Surprise,LipPressorR,0.0013087443088110088
mean,raw,sample_weighted,Anger,LipPuckerL,0.11099949789242707
mean,raw,sample_weighted,Disgust,LipPuckerL,0.06204047418586758
mean,raw,sample_weighted,Fear,LipPuckerL,0.007243648175820531
mean,raw,sample_weighted,Happiness,LipPuckerL,0.0044926751432652285
mean,raw,sample_weighted,Neutral,LipPuckerL,0.0009360978567098894
mean,raw,sample_weighted,Sadness,LipPuckerL,0.05717008530211855
mean,raw,sample_weighted,Surprise,LipPuckerL,0.10987694115346178
mean,raw,sample_weighted,Anger,LipPuckerR,0.1083346871663215
mean,raw,sample_weighted,Disgust,LipPuckerR,0.06054115467362472
mean,raw,sample_weighted,Fear,LipPuckerR,0.007000558646774501
mean,raw,sample_weighted,Happiness,LipPuckerR,0.004015344204294903
mean,raw,sample_weighted,Neutral,LipPuckerR,0.001001158054331759
mean,raw,sample_weighted,Sadness,LipPuckerR,0.06158937423984099
mean,raw,sample_weighted,Surprise,LipPuckerR,0.11135818387726959
mean,raw,sample_weighted,Anger,LipStretcherL,0.025601941838025714
mean,raw,sample_weighted,Disgust,LipStretcherL,0.05710674928514298
mean,raw,sample_weighted,Fear,LipStretcherL,0.055993672530810015
mean,raw,sample_weighted,Happiness,LipStretcherL,0.06683946275273019
mean,raw,sample_weighted,Neutral,LipStretcherL,0.002978576103484626
mean,raw,sample_weighted,Sadness,LipStretcherL,0.05230699614229231
mean,raw,sample_weighted,Surprise,LipStretcherL,0.00624889086067818
mean,raw,sample_weighted,Anger,LipStretcherR,0.026953796406984597
mean,raw,sample_weighted,Disgust,LipStretcherR,0.06118816917526706
mean,raw,sample_weighted,Fear,LipStretcherR,0.060673163365228364
mean,raw,sample_weighted,Happiness,LipStretcherR,0.06927914103672264
mean,raw,sample_weighted,Neutral,LipStretcherR,0.003173475925728404
mean,raw,sample_weighted,Sadness,LipStretcherR,0.05458316812176769
mean,raw,sample_weighted,Surprise,LipStretcherR,0.008350665319050708
mean,raw,sample_weighted,Anger,LipSuckLB,0.1465829652247661
mean,raw,sample_weighted,Disgust,LipSuckLB,0.11609334722910283
mean,raw,sample_weighted,Fear,LipSuckLB,0.03921610877329854
mean,raw,sample_weighted,Happiness,LipSuckLB,0.18708293032951923
mean,raw,sample_weighted,Neutral,LipSuckLB,0.024409060111342702
mean,raw,sample_weighted,Sadness,LipSuckLB,0.03671511957073885
mean,raw,sample_weighted,Surprise,LipSuckLB,0.020653179990783897
mean,raw,sample_weighted,Anger,LipSuckLT,0.053473309163501265
mean,raw,sample_weighted,Disgust,LipSuckLT,0.06893950134947387
mean,raw,sample_weighted,Fear,LipSuckLT,0.015758804046362606
mean,raw,sample_weighted,Happiness,LipSuckLT,0.10866121833343402
mean,raw,sample_weighted,Neutral,LipSuckLT,0.010499973320760227
mean,raw,sample_weighted,Sadness,LipSuckLT,0.01961072168768169
mean,raw,sample_weighted,Surprise,LipSuckLT,0.011068641876381992
mean,raw,sample_weighted,Anger,LipSuckRB,0.13654087136307844
mean,raw,sample_weighted,Disgust,LipSuckRB,0.10664697147984648
mean,raw,sample_weighted,Fear,LipSuckRB,0.032582735060257946
mean,raw,sample_weighted,Happiness,LipSuckRB,0.1483746397130427
mean,raw,sample_weighted,Neutral,LipSuckRB,0.019407598028622488
mean,raw,sample_weighted,Sadness,LipSuckRB,0.03524453762080657
mean,raw,sample_weighted,Surprise,LipSuckRB,0.017008686529011396
mean,raw,sample_weighted,Anger,LipSuckRT,0.045586121531730854
mean,raw,sample_weighted,Disgust,LipSuckRT,0.05861712212362962
mean,raw,sample_weighted,Fear,LipSuckRT,0.012901826103304776
mean,raw,sample_weighted,Happiness,LipSuckRT,0.09897397578932134
mean,raw,sample_weighted,Neutral,LipSuckRT,0.008431379180567638
mean,raw,sample_weighted,Sadness,LipSuckRT,0.01348006019640594
mean,raw,sample_weighted,Surprise,LipSuckRT,0.008686216135057913
mean,raw,sample_weighted,Anger,LipTightenerL,0.0710523397887384
mean,raw,sample_weighted,Disgust,LipTightenerL,0.016771129790251887
mean,raw,sample_weighted,Fear,LipTightenerL,0.0032637609845036974
mean,raw,sample_weighted,Happiness,LipTightenerL,0.001017707952065218
mean,raw,sample_weighted,Neutral,LipTightenerL,0.0004515725526110802
mean,raw,sample_weighted,Sadness,LipTightenerL,0.06677057499821497
mean,raw,sample_weighted,Surprise,LipTightenerL,0.04958883276806621
mean,raw,sample_weighted,Anger,LipTightenerR,0.06755220974812172
mean,raw,sample_weighted,Disgust,LipTightenerR,0.014617376508391592
mean,raw,sample_weighted,Fear,LipTightenerR,0.002888061211844617
mean,raw,sample_weighted,Happiness,LipTightenerR,0.0009532825306283351
mean,raw,sample_weighted,Neutral,LipTightenerR,0.0004773763523704942
mean,raw,sample_weighted,Sadness,LipTightenerR,0.06252311942970482
mean,raw,sample_weighted,Surprise,LipTightenerR,0.042015050904511846
mean,raw,sample_weighted,Anger,LipsToward,0.03560560768008744
mean,raw,sample_weighted,Disgust,LipsToward,0.03923307431326167
mean,raw,sample_weighted,Fear,LipsToward,0.030242813748418307
mean,raw,sample_weighted,Happiness,LipsToward,0.027778861137202928
mean,raw,sample_weighted,Neutral,LipsToward,0.010621655870793624
mean,raw,sample_weighted,Sadness,LipsToward,0.032580175916427125
mean,raw,sample_weighted,Surprise,LipsToward,0.0647881544391553
mean,raw,sample_weighted,Anger,LowerLipDepressorL,0.018540294157179553
mean,raw,sample_weighted,Disgust,LowerLipDepressorL,0.06281694222466071
mean,raw,sample_weighted,Fear,LowerLipDepressorL,0.07125904348180782
mean,raw,sample_weighted,Happiness,LowerLipDepressorL,0.13013234257718514
mean,raw,sample_weighted,Neutral,LowerLipDepressorL,0.0036103944088471365
mean,raw,sample_weighted,Sadness,LowerLipDepressorL,0.011569391411256258
mean,raw,sample_weighted,Surprise,LowerLipDepressorL,0.011369440806543762
mean,raw,sample_weighted,Anger,LowerLipDepressorR,0.017699641266676756
mean,raw,sample_weighted,Disgust,LowerLipDepressorR,0.06074751462542546
mean,raw,sample_weighted,Fear,LowerLipDepressorR,0.07101507159399909
mean,raw,sample_weighted,Happiness,LowerLipDepressorR,0.12482897064996233
mean,raw,sample_weighted,Neutral,LowerLipDepressorR,0.0034305255178448553
mean,raw,sample_weighted,Sadness,LowerLipDepressorR,0.010125800714549455
mean,raw,sample_weighted,Surprise,LowerLipDepressorR,0.012196170048173994
mean,raw,sample_weighted,Anger,MouthLeft,0.010178943211524403
mean,raw,sample_weighted,Disgust,MouthLeft,0.011144317156828697
mean,raw,sample_weighted,Fear,MouthLeft,0.002275451559626432
mean,raw,sample_weighted,Happiness,MouthLeft,0.005748258014882725
mean,raw,sample_weighted,Neutral,MouthLeft,0.0007888086403211239
mean,raw,sample_weighted,Sadness,MouthLeft,0.0026696457146226926
mean,raw,sample_weighted,Surprise,MouthLeft,0.0022147045658978235
mean,raw,sample_weighted,Anger,MouthRight,0.003404548730339449
mean,raw,sample_weighted,Disgust,MouthRight,0.0033710377138422886
mean,raw,sample_weighted,Fear,MouthRight,0.0006506867993713615
mean,raw,sample_weighted,Happiness,MouthRight,0.0019768107651408156
mean,raw,sample_weighted,Neutral,MouthRight,0.000149481984671669
mean,raw,sample_weighted,Sadness,MouthRight,0.000204961286204463
mean,raw,sample_weighted,Surprise,MouthRight,0.0021562166498019565
mean,raw,sample_weighted,Anger,NoseWrinklerL,0.21238385761583614
mean,raw,sample_weighted,Disgust,NoseWrinklerL,0.337902636512469
mean,raw,sample_weighted,Fear,NoseWrinklerL,0.024822247575617226
mean,raw,sample_weighted,Happiness,NoseWrinklerL,0.013575920517235168
mean,raw,sample_weighted,Neutral,NoseWrinklerL,0.0038208620029173503
mean,raw,sample_weighted,Sadness,NoseWrinklerL,0.05504881461819912
