sequence_summary,representation,weighting,true_label,group_id,value,group_label
mean,raw,sample_weighted,Anger,AU5,0.09306436751339746,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Disgust,AU5,0.05776921438110812,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Fear,AU5,0.2253952344644785,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Happiness,AU5,0.05653331041701147,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Neutral,AU5,0.044547926355470155,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Sadness,AU5,0.055833704094909974,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Surprise,AU5,0.18622114301349257,AU5 Upper Lid Raiser
mean,raw,sample_weighted,Anger,AU6,0.1972518723392862,AU6 Cheek Raiser
mean,raw,sample_weighted,Disgust,AU6,0.25972294247929545,AU6 Cheek Raiser
mean,raw,sample_weighted,Fear,AU6,0.056241256915739724,AU6 Cheek Raiser
mean,raw,sample_weighted,Happiness,AU6,0.37580567095135525,AU6 Cheek Raiser
mean,raw,sample_weighted,Neutral,AU6,0.03947517767607515,AU6 Cheek Raiser
mean,raw,sample_weighted,Sadness,AU6,0.08826613074462884,AU6 Cheek Raiser
mean,raw,sample_weighted,Surprise,AU6,0.03648042216246723,AU6 Cheek Raiser
mean,raw,sample_weighted,Anger,AU7,0.2789492190366455,AU7 Lid Tightener
mean,raw,sample_weighted,Disgust,AU7,0.2937907675499167,AU7 Lid Tightener
mean,raw,sample_weighted,Fear,AU7,0.07422178753480627,AU7 Lid Tightener
mean,raw,sample_weighted,Happiness,AU7,0.1939982750508396,AU7 Lid Tightener
mean,raw,sample_weighted,Neutral,AU7,0.03767035626055996,AU7 Lid Tightener
mean,raw,sample_weighted,Sadness,AU7,0.10461751681137736,AU7 Lid Tightener
mean,raw,sample_weighted,Surprise,AU7,0.05768688179529329,AU7 Lid Tightener
mean,raw,sample_weighted,Anger,AU8,0.03560560768008744,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Disgust,AU8,0.03923307431326167,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Fear,AU8,0.030242813748418307,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Happiness,AU8,0.027778861137202928,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Neutral,AU8,0.010621655870793624,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Sadness,AU8,0.032580175916427125,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Surprise,AU8,0.0647881544391553,AU8 Lips Toward Each Other
mean,raw,sample_weighted,Anger,AU9,0.21309722965180072,AU9 Nose Wrinkler
mean,raw,sample_weighted,Disgust,AU9,0.33854152913188906,AU9 Nose Wrinkler
mean,raw,sample_weighted,Fear,AU9,0.024923344347097788,AU9 Nose Wrinkler
mean,raw,sample_weighted,Happiness,AU9,0.011152323171938374,AU9 Nose Wrinkler
mean,raw,sample_weighted,Neutral,AU9,0.003812392647538778,AU9 Nose Wrinkler
mean,raw,sample_weighted,Sadness,AU9,0.05687240247355462,AU9 Nose Wrinkler
mean,raw,sample_weighted,Surprise,AU9,0.012330869283394063,AU9 Nose Wrinkler
mean,raw,sample_weighted,Anger,AU10,0.17947921566508507,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Disgust,AU10,0.28391778615316676,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Fear,AU10,0.10179740840442313,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Happiness,AU10,0.2692495327891696,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Neutral,AU10,0.02334323039757171,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Sadness,AU10,0.038115041123698526,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Surprise,AU10,0.06034147153955833,AU10 Upper Lip Raiser
mean,raw,sample_weighted,Anger,AU12,0.04706333316475577,AU12 Lip Corner Puller
mean,raw,sample_weighted,Disgust,AU12,0.058207104263989555,AU12 Lip Corner Puller
mean,raw,sample_weighted,Fear,AU12,0.03231643498667536,AU12 Lip Corner Puller
mean,raw,sample_weighted,Happiness,AU12,0.49486882300560797,AU12 Lip Corner Puller
mean,raw,sample_weighted,Neutral,AU12,0.012872030873424764,AU12 Lip Corner Puller
mean,raw,sample_weighted,Sadness,AU12,0.015823585313818368,AU12 Lip Corner Puller
mean,raw,sample_weighted,Surprise,AU12,0.013413225891819645,AU12 Lip Corner Puller
mean,raw,sample_weighted,Anger,AU14,0.03244535879608395,AU14 Dimpler
mean,raw,sample_weighted,Disgust,AU14,0.04554770461927542,AU14 Dimpler
mean,raw,sample_weighted,Fear,AU14,0.04549559717560608,AU14 Dimpler
mean,raw,sample_weighted,Happiness,AU14,0.207211243564962,AU14 Dimpler
mean,raw,sample_weighted,Neutral,AU14,0.011659965913491192,AU14 Dimpler
mean,raw,sample_weighted,Sadness,AU14,0.009465748952782129,AU14 Dimpler
mean,raw,sample_weighted,Surprise,AU14,0.021760032200762922,AU14 Dimpler
mean,raw,sample_weighted,Anger,AU15,0.09523828738826132,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Disgust,AU15,0.13865860100091307,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Fear,AU15,0.03069987309072793,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Happiness,AU15,0.007364125419791683,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Neutral,AU15,0.00582510965527434,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Sadness,AU15,0.3773980928138145,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Surprise,AU15,0.01729710828050818,AU15 Lip Corner Depressor
mean,raw,sample_weighted,Anger,AU16,0.018119967711928153,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Disgust,AU16,0.061782228425043086,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Fear,AU16,0.07113705753790345,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Happiness,AU16,0.12748065661357375,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Neutral,AU16,0.003520459963345996,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Sadness,AU16,0.010847596062902858,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Surprise,AU16,0.011782805427358878,AU16 Lower Lip Depressor
mean,raw,sample_weighted,Anger,AU17,0.2648346149697446,AU17 Chin Raiser
mean,raw,sample_weighted,Disgust,AU17,0.2074105320580851,AU17 Chin Raiser
mean,raw,sample_weighted,Fear,AU17,0.028296105825819595,AU17 Chin Raiser
mean,raw,sample_weighted,Happiness,AU17,0.06581270549086778,AU17 Chin Raiser
mean,raw,sample_weighted,Neutral,AU17,0.008287952072360947,AU17 Chin Raiser
mean,raw,sample_weighted,Sadness,AU17,0.33794737188205265,AU17 Chin Raiser
mean,raw,sample_weighted,Surprise,AU17,0.031972319130117374,AU17 Chin Raiser
mean,raw,sample_weighted,Anger,AU18,0.10966709252937429,AU18 Lip Puckerer
mean,raw,sample_weighted,Disgust,AU18,0.06129081442974615,AU18 Lip Puckerer
mean,raw,sample_weighted,Fear,AU18,0.007122103411297515,AU18 Lip Puckerer
mean,raw,sample_weighted,Happiness,AU18,0.004254009673780065,AU18 Lip Puckerer
mean,raw,sample_weighted,Neutral,AU18,0.0009686279555208243,AU18 Lip Puckerer
mean,raw,sample_weighted,Sadness,AU18,0.059379729770979765,AU18 Lip Puckerer
mean,raw,sample_weighted,Surprise,AU18,0.11061756251536568,AU18 Lip Puckerer
mean,raw,sample_weighted,Anger,AU20,0.026277869122505154,AU20 Lip Stretcher
mean,raw,sample_weighted,Disgust,AU20,0.059147459230205014,AU20 Lip Stretcher
mean,raw,sample_weighted,Fear,AU20,0.05833341794801919,AU20 Lip Stretcher
mean,raw,sample_weighted,Happiness,AU20,0.06805930189472642,AU20 Lip Stretcher
mean,raw,sample_weighted,Neutral,AU20,0.0030760260146065147,AU20 Lip Stretcher
mean,raw,sample_weighted,Sadness,AU20,0.05344508213203,AU20 Lip Stretcher
mean,raw,sample_weighted,Surprise,AU20,0.007299778089864444,AU20 Lip Stretcher
mean,raw,sample_weighted,Anger,AU22,0.007976262293808746,AU22 Lip Funneler
mean,raw,sample_weighted,Disgust,AU22,0.003287749730088756,AU22 Lip Funneler
mean,raw,sample_weighted,Fear,AU22,0.0019419525484265976,AU22 Lip Funneler
mean,raw,sample_weighted,Happiness,AU22,0.0006838134682745187,AU22 Lip Funneler
mean,raw,sample_weighted,Neutral,AU22,0.0003887717935699067,AU22 Lip Funneler
mean,raw,sample_weighted,Sadness,AU22,0.04825176794453037,AU22 Lip Funneler
mean,raw,sample_weighted,Surprise,AU22,0.030867155254937925,AU22 Lip Funneler
mean,raw,sample_weighted,Anger,AU23,0.06930227476843007,AU23 Lip Tightener
mean,raw,sample_weighted,Disgust,AU23,0.01569425314932174,AU23 Lip Tightener
mean,raw,sample_weighted,Fear,AU23,0.0030759110981741574,AU23 Lip Tightener
mean,raw,sample_weighted,Happiness,AU23,0.0009854952413467766,AU23 Lip Tightener
mean,raw,sample_weighted,Neutral,AU23,0.0004644744524907872,AU23 Lip Tightener
mean,raw,sample_weighted,Sadness,AU23,0.0646468472139599,AU23 Lip Tightener
mean,raw,sample_weighted,Surprise,AU23,0.04580194183628902,AU23 Lip Tightener
mean,raw,sample_weighted,Anger,AU24,0.013886938048488612,AU24 Lip Pressor
mean,raw,sample_weighted,Disgust,AU24,0.01690378340864746,AU24 Lip Pressor
mean,raw,sample_weighted,Fear,AU24,0.000660247927340017,AU24 Lip Pressor
mean,raw,sample_weighted,Happiness,AU24,0.0006531464421718964,AU24 Lip Pressor
mean,raw,sample_weighted,Neutral,AU24,2.3821917403019587e-05,AU24 Lip Pressor
mean,raw,sample_weighted,Sadness,AU24,0.011012760672456729,AU24 Lip Pressor
mean,raw,sample_weighted,Surprise,AU24,0.0013079372308571788,AU24 Lip Pressor
mean,raw,sample_weighted,Anger,AU26,0.040781895003790744,AU26 Jaw Drop
mean,raw,sample_weighted,Disgust,AU26,0.08006996367661344,AU26 Jaw Drop
mean,raw,sample_weighted,Fear,AU26,0.17847839831748416,AU26 Jaw Drop
mean,raw,sample_weighted,Happiness,AU26,0.08428615109682995,AU26 Jaw Drop
mean,raw,sample_weighted,Neutral,AU26,0.013873865490748075,AU26 Jaw Drop
mean,raw,sample_weighted,Sadness,AU26,0.033177679091322874,AU26 Jaw Drop
mean,raw,sample_weighted,Surprise,AU26,0.3220097643359583,AU26 Jaw Drop
mean,raw,sample_weighted,Anger,AU28,0.09554581682076917,AU28 Lip Suck
mean,raw,sample_weighted,Disgust,AU28,0.08757423554551319,AU28 Lip Suck
mean,raw,sample_weighted,Fear,AU28,0.025114868495805968,AU28 Lip Suck
mean,raw,sample_weighted,Happiness,AU28,0.13577319104132932,AU28 Lip Suck
mean,raw,sample_weighted,Neutral,AU28,0.015687002660323263,AU28 Lip Suck
mean,raw,sample_weighted,Sadness,AU28,0.026262609768908263,AU28 Lip Suck
mean,raw,sample_weighted,Surprise,AU28,0.014354181132808798,AU28 Lip Suck
mean,raw,sample_weighted,Anger,AU43,0.07358739029136677,AU43 Eyes Closed
mean,raw,sample_weighted,Disgust,AU43,0.10012209412066703,AU43 Eyes Closed
mean,raw,sample_weighted,Fear,AU43,0.017126302350770124,AU43 Eyes Closed
mean,raw,sample_weighted,Happiness,AU43,0.026167892268232445,AU43 Eyes Closed
mean,raw,sample_weighted,Neutral,AU43,0.015530469500369896,AU43 Eyes Closed
mean,raw,sample_weighted,Sadness,AU43,0.06672498143334876,AU43 Eyes Closed
mean,raw,sample_weighted,Surprise,AU43,0.019418408530793577,AU43 Eyes Closed
mean,raw,sample_weighted,Anger,AD29,0.02646016576893643,AD29 Jaw Thrust
mean,raw,sample_weighted,Disgust,AD29,0.02466994087745948,AD29 Jaw Thrust
mean,raw,sample_weighted,Fear,AD29,0.03415828804226623,AD29 Jaw Thrust
mean,raw,sample_weighted,Happiness,AD29,0.009428085618018726,AD29 Jaw Thrust
mean,raw,sample_weighted,Neutral,AD29,0.006874277560084202,AD29 Jaw Thrust
mean,raw,sample_weighted,Sadness,AD29,0.05951370729479086,AD29 Jaw Thrust
mean,raw,sample_weighted,Surprise,AD29,0.09760008666810975,AD29 Jaw Thrust
mean,raw,sample_weighted,Anger,AD30,0.01528286438956736,AD30 Jaw Sideways
mean,raw,sample_weighted,Disgust,AD30,0.008143823364722027,AD30 Jaw Sideways
mean,raw,sample_weighted,Fear,AD30,0.0032506730783848363,AD30 Jaw Sideways
mean,raw,sample_weighted,Happiness,AD30,0.003933170349956331,AD30 Jaw Sideways
mean,raw,sample_weighted,Neutral,AD30,0.0005990112855699467,AD30 Jaw Sideways
mean,raw,sample_weighted,Sadness,AD30,0.01935365684188916,AD30 Jaw Sideways
mean,raw,sample_weighted,Surprise,AD30,0.016798503028142075,AD30 Jaw Sideways
mean,raw,sample_weighted,Anger,AD34,0.009187254239662889,AD34 Cheek Puff
mean,raw,sample_weighted,Disgust,AD34,0.0032505164765854,AD34 Cheek Puff
mean,raw,sample_weighted,Fear,AD34,0.0006076858685352958,AD34 Cheek Puff
mean,raw,sample_weighted,Happiness,AD34,0.0005268458012767735,AD34 Cheek Puff
mean,raw,sample_weighted,Neutral,AD34,0.00037990170650504596,AD34 Cheek Puff
mean,raw,sample_weighted,Sadness,AD34,0.012191797143333486,AD34 Cheek Puff
mean,raw,sample_weighted,Surprise,AD34,0.005274522501637308,AD34 Cheek Puff
mean,raw,sample_weighted,Anger,AD35,1.6232301063661627e-06,AD35 Cheek Suck
mean,raw,sample_weighted,Disgust,AD35,4.2596620129593025e-05,AD35 Cheek Suck
mean,raw,sample_weighted,Fear,AD35,5.447055475857914e-05,AD35 Cheek Suck
mean,raw,sample_weighted,Happiness,AD35,9.781874803979512e-07,AD35 Cheek Suck
mean,raw,sample_weighted,Neutral,AD35,2.9788195491574565e-07,AD35 Cheek Suck
mean,raw,sample_weighted,Sadness,AD35,3.550620712803886e-06,AD35 Cheek Suck
mean,raw,sample_weighted,Surprise,AD35,0.005371571875783164,AD35 Cheek Suck
mean,raw,sample_weighted,Anger,EYE61,0.08363269206182544,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Disgust,EYE61,0.08886232253177692,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Fear,EYE61,0.0870817826742195,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Happiness,EYE61,0.08872472216763985,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Neutral,EYE61,0.09796235545275514,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Sadness,EYE61,0.0905547242476303,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Surprise,EYE61,0.0917508030205996,EYE61 Eyes Turn Left
mean,raw,sample_weighted,Anger,EYE62,0.06509189479673315,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Disgust,EYE62,0.06894114747673048,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Fear,EYE62,0.07434593859820098,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Happiness,EYE62,0.07257237664318461,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Neutral,EYE62,0.06306287898215399,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Sadness,EYE62,0.07292068755247308,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Surprise,EYE62,0.07500395871783753,EYE62 Eyes Turn Right
mean,raw,sample_weighted,Anger,EYE63,0.06909320603924805,EYE63 Eyes Up
mean,raw,sample_weighted,Disgust,EYE63,0.04566911840870223,EYE63 Eyes Up
mean,raw,sample_weighted,Fear,EYE63,0.02903247379653976,EYE63 Eyes Up
mean,raw,sample_weighted,Happiness,EYE63,0.05038823600526908,EYE63 Eyes Up
mean,raw,sample_weighted,Neutral,EYE63,0.04858795172375144,EYE63 Eyes Up
mean,raw,sample_weighted,Sadness,EYE63,0.0337737847913503,EYE63 Eyes Up
mean,raw,sample_weighted,Surprise,EYE63,0.02989626689184047,EYE63 Eyes Up
mean,raw,sample_weighted,Anger,EYE64,0.0699463775356868,EYE64 Eyes Down
mean,raw,sample_weighted,Disgust,EYE64,0.08608169498659567,EYE64 Eyes Down
mean,raw,sample_weighted,Fear,EYE64,0.017710499624112447,EYE64 Eyes Down
mean,raw,sample_weighted,Happiness,EYE64,0.03874310355009385,EYE64 Eyes Down
mean,raw,sample_weighted,Neutral,EYE64,0.018178281188716987,EYE64 Eyes Down
mean,raw,sample_weighted,Sadness,EYE64,0.048260638410155154,EYE64 Eyes Down
mean,raw,sample_weighted,Surprise,EYE64,0.018390628692022157,EYE64 Eyes Down
mean,raw,sample_weighted,Anger,UNMAPPED_MouthLeft,0.010178943211524403,MouthLeft (unmapped)
mean,raw,sample_weighted,Disgust,UNMAPPED_MouthLeft,0.011144317156828697,MouthLeft (unmapped)
mean,raw,sample_weighted,Fear,UNMAPPED_MouthLeft,0.002275451559626432,MouthLeft (unmapped)
mean,raw,sample_weighted,Happiness,UNMAPPED_MouthLeft,0.005748258014882725,MouthLeft (unmapped)
mean,raw,sample_weighted,Neutral,UNMAPPED_MouthLeft,0.0007888086403211239,MouthLeft (unmapped)
mean,raw,sample_weighted,Sadness,UNMAPPED_MouthLeft,0.0026696457146226926,MouthLeft (unmapped)
mean,raw,sample_weighted,Surprise,UNMAPPED_MouthLeft,0.0022147045658978235,MouthLeft (unmapped)
mean,raw,sample_weighted,Anger,UNMAPPED_MouthRight,0.003404548730339449,MouthRight (unmapped)
mean,raw,sample_weighted,Disgust,UNMAPPED_MouthRight,0.0033710377138422886,MouthRight (unmapped)
mean,raw,sample_weighted,Fear,UNMAPPED_MouthRight,0.0006506867993713615,MouthRight (unmapped)
mean,raw,sample_weighted,Happiness,UNMAPPED_MouthRight,0.0019768107651408156,MouthRight (unmapped)
mean,raw,sample_weighted,Neutral,UNMAPPED_MouthRight,0.000149481984671669,MouthRight (unmapped)
mean,raw,sample_weighted,Sadness,UNMAPPED_MouthRight,0.000204961286204463,MouthRight (unmapped)
mean,raw,sample_weighted,Surprise,UNMAPPED_MouthRight,0.0021562166498019565,MouthRight (unmapped)
mean,raw,participant_balanced,Anger,AU1,0.0644206204230623,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Disgust,AU1,0.06517319602445967,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Fear,AU1,0.14634917805438194,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Happiness,AU1,0.04053001826370638,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Neutral,AU1,0.01890928930989732,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Sadness,AU1,0.08822854756470609,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Surprise,AU1,0.1836217603533544,AU1 Inner Brow Raiser
mean,raw,participant_balanced,Anger,AU2,0.018950009533773363,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Disgust,AU2,0.027745850477170347,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Fear,AU2,0.14401100246234977,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Happiness,AU2,0.03589776663493367,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Neutral,AU2,0.014684676434398271,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Sadness,AU2,0.029033462816980306,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Surprise,AU2,0.18929525518589482,AU2 Outer Brow Raiser
mean,raw,participant_balanced,Anger,AU4,0.2869767237079153,AU4 Brow Lowerer
mean,raw,participant_balanced,Disgust,AU4,0.29470373183349374,AU4 Brow Lowerer
mean,raw,participant_balanced,Fear,AU4,0.060498270246230855,AU4 Brow Lowerer
mean,raw,participant_balanced,Happiness,AU4,0.05037896270302054,AU4 Brow Lowerer
mean,raw,participant_balanced,Neutral,AU4,0.03361046518943029,AU4 Brow Lowerer
mean,raw,participant_balanced,Sadness,AU4,0.18441747142878728,AU4 Brow Lowerer
mean,raw,participant_balanced,Surprise,AU4,0.03401692344283001,AU4 Brow Lowerer
mean,raw,participant_balanced,Anger,AU5,0.08040110827726714,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Disgust,AU5,0.046438407043494084,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Fear,AU5,0.22375441800996237,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Happiness,AU5,0.05726538332404932,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Neutral,AU5,0.047027126453073484,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Sadness,AU5,0.05420578357634583,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Surprise,AU5,0.19485493301364917,AU5 Upper Lid Raiser
mean,raw,participant_balanced,Anger,AU6,0.18758947336038678,AU6 Cheek Raiser
mean,raw,participant_balanced,Disgust,AU6,0.2641443162009108,AU6 Cheek Raiser
mean,raw,participant_balanced,Fear,AU6,0.05582453710404695,AU6 Cheek Raiser
mean,raw,participant_balanced,Happiness,AU6,0.3819162762411527,AU6 Cheek Raiser
mean,raw,participant_balanced,Neutral,AU6,0.04101488036893414,AU6 Cheek Raiser
mean,raw,participant_balanced,Sadness,AU6,0.10126551446833436,AU6 Cheek Raiser
mean,raw,participant_balanced,Surprise,AU6,0.03864371532836949,AU6 Cheek Raiser
mean,raw,participant_balanced,Anger,AU7,0.28378659642780535,AU7 Lid Tightener
mean,raw,participant_balanced,Disgust,AU7,0.2924868917799117,AU7 Lid Tightener
mean,raw,participant_balanced,Fear,AU7,0.07939362898259916,AU7 Lid Tightener
mean,raw,participant_balanced,Happiness,AU7,0.1948712026386778,AU7 Lid Tightener
mean,raw,participant_balanced,Neutral,AU7,0.039131101889845143,AU7 Lid Tightener
mean,raw,participant_balanced,Sadness,AU7,0.11669928683286315,AU7 Lid Tightener
mean,raw,participant_balanced,Surprise,AU7,0.05903056633011286,AU7 Lid Tightener
mean,raw,participant_balanced,Anger,AU8,0.03440729368222137,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Disgust,AU8,0.041648974157316075,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Fear,AU8,0.028297687543006933,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Happiness,AU8,0.02779107001737677,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Neutral,AU8,0.011114356270719961,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Sadness,AU8,0.032701303975675,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Surprise,AU8,0.06306518813299909,AU8 Lips Toward Each Other
mean,raw,participant_balanced,Anger,AU9,0.18684331410192284,AU9 Nose Wrinkler
mean,raw,participant_balanced,Disgust,AU9,0.3251388963544949,AU9 Nose Wrinkler
mean,raw,participant_balanced,Fear,AU9,0.024692511290105173,AU9 Nose Wrinkler
mean,raw,participant_balanced,Happiness,AU9,0.011654239917598869,AU9 Nose Wrinkler
mean,raw,participant_balanced,Neutral,AU9,0.003813301579138761,AU9 Nose Wrinkler
mean,raw,participant_balanced,Sadness,AU9,0.06157191648728804,AU9 Nose Wrinkler
mean,raw,participant_balanced,Surprise,AU9,0.011907363086595254,AU9 Nose Wrinkler
mean,raw,participant_balanced,Anger,AU10,0.16958419810908582,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Disgust,AU10,0.26791358551058003,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Fear,AU10,0.10510554487677527,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Happiness,AU10,0.2672504651881971,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Neutral,AU10,0.02315127761473235,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Sadness,AU10,0.04179393732031299,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Surprise,AU10,0.06391461187532169,AU10 Upper Lip Raiser
mean,raw,participant_balanced,Anger,AU12,0.04437732253243985,AU12 Lip Corner Puller
mean,raw,participant_balanced,Disgust,AU12,0.05783915618564184,AU12 Lip Corner Puller
mean,raw,participant_balanced,Fear,AU12,0.032164335893577076,AU12 Lip Corner Puller
mean,raw,participant_balanced,Happiness,AU12,0.5000415038928555,AU12 Lip Corner Puller
mean,raw,participant_balanced,Neutral,AU12,0.013105300332002714,AU12 Lip Corner Puller
mean,raw,participant_balanced,Sadness,AU12,0.01677484611681225,AU12 Lip Corner Puller
mean,raw,participant_balanced,Surprise,AU12,0.014492879929745371,AU12 Lip Corner Puller
mean,raw,participant_balanced,Anger,AU14,0.03126003246751918,AU14 Dimpler
mean,raw,participant_balanced,Disgust,AU14,0.043927814936979566,AU14 Dimpler
mean,raw,participant_balanced,Fear,AU14,0.04173198808267294,AU14 Dimpler
mean,raw,participant_balanced,Happiness,AU14,0.20944345264628084,AU14 Dimpler
mean,raw,participant_balanced,Neutral,AU14,0.011602540649971575,AU14 Dimpler
mean,raw,participant_balanced,Sadness,AU14,0.010269379695379574,AU14 Dimpler
mean,raw,participant_balanced,Surprise,AU14,0.022925741212539527,AU14 Dimpler
mean,raw,participant_balanced,Anger,AU15,0.08971182929631139,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Disgust,AU15,0.14029403629863454,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Fear,AU15,0.028674605542567372,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Happiness,AU15,0.00749249705130417,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Neutral,AU15,0.006163766507783931,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Sadness,AU15,0.37577227190302837,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Surprise,AU15,0.015797321156444562,AU15 Lip Corner Depressor
mean,raw,participant_balanced,Anger,AU16,0.01480280655819705,AU16 Lower Lip Depressor
mean,raw,participant_balanced,Disgust,AU16,0.056220867729977725,AU16 Lower Lip Depressor
mean,raw,participant_balanced,Fear,AU16,0.06623152212488351,AU16 Lower Lip Depressor
