sequence_id,reenactment_id,participant_id,perspective,true_class,final_predicted_class,correct_final,ever_correct,never_correct,first_correct_timestep,stabilization_timestep,prediction_switches,earlier_correct_final_wrong
1700479113933-2-1-2-4-1-1,1700479113933-2-1-2-4-1,1,Side,Disgust,Disgust,True,True,False,1.0,1,0,False
1700479117593-2-1-2-5-1-0,1700479117593-2-1-2-5-1,1,Central,Disgust,Disgust,True,True,False,1.0,29,4,False
1700479117593-2-1-2-5-1-1,1700479117593-2-1-2-5-1,1,Side,Disgust,Disgust,True,True,False,29.0,29,3,False
1700479119890-2-1-2-6-2-0,1700479119890-2-1-2-6-2,1,Central,Fear,Fear,True,True,False,27.0,27,1,False
1700479119890-2-1-2-6-2-1,1700479119890-2-1-2-6-2,1,Side,Fear,Fear,True,True,False,1.0,16,4,False
1700479129747-2-1-2-10-2-0,1700479129747-2-1-2-10-2,1,Central,Fear,Fear,True,True,False,29.0,29,1,False
1700479129747-2-1-2-10-2-1,1700479129747-2-1-2-10-2,1,Side,Fear,Fear,True,True,False,1.0,1,0,False
1700479131977-2-1-2-11-4-0,1700479131977-2-1-2-11-4,1,Central,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479131977-2-1-2-11-4-1,1700479131977-2-1-2-11-4,1,Side,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479238544-2-1-3-0-4-0,1700479238544-2-1-3-0-4,1,Central,Neutral,Neutral,True,True,False,21.0,21,1,False
1700479238544-2-1-3-0-4-1,1700479238544-2-1-3-0-4,1,Side,Neutral,Neutral,True,True,False,19.0,19,1,False
1700479240547-2-1-3-1-1-0,1700479240547-2-1-3-1-1,1,Central,Disgust,Disgust,True,True,False,23.0,23,3,False
1700479240547-2-1-3-1-1-1,1700479240547-2-1-3-1-1,1,Side,Disgust,Surprise,False,False,True,,28,4,False
1700479243878-2-1-3-3-6-0,1700479243878-2-1-3-3-6,1,Central,Surprise,Surprise,True,True,False,28.0,28,3,False
1700479243878-2-1-3-3-6-1,1700479243878-2-1-3-3-6,1,Side,Surprise,Surprise,True,True,False,25.0,25,2,False
1700479245714-2-1-3-4-3-0,1700479245714-2-1-3-4-3,1,Central,Happiness,Happiness,True,True,False,24.0,24,1,False
1700479245714-2-1-3-4-3-1,1700479245714-2-1-3-4-3,1,Side,Happiness,Happiness,True,True,False,20.0,20,1,False
1700479248151-2-1-3-5-2-0,1700479248151-2-1-3-5-2,1,Central,Fear,Fear,True,True,False,1.0,1,0,False
1700479248151-2-1-3-5-2-1,1700479248151-2-1-3-5-2,1,Side,Fear,Fear,True,True,False,1.0,1,0,False
1700479250572-2-1-3-6-5-0,1700479250572-2-1-3-6-5,1,Central,Sadness,Sadness,True,True,False,6.0,6,2,False
1700479250572-2-1-3-6-5-1,1700479250572-2-1-3-6-5,1,Side,Sadness,Neutral,False,True,False,14.0,29,5,True
1700479253441-2-1-3-8-0-0,1700479253441-2-1-3-8-0,1,Central,Anger,Neutral,False,False,True,,1,0,False
1700479253441-2-1-3-8-0-1,1700479253441-2-1-3-8-0,1,Side,Anger,Disgust,False,False,True,,21,1,False
1700479258342-2-1-3-10-0-0,1700479258342-2-1-3-10-0,1,Central,Anger,Disgust,False,False,True,,22,1,False
1700479258342-2-1-3-10-0-1,1700479258342-2-1-3-10-0,1,Side,Anger,Neutral,False,False,True,,18,1,False
1700479260806-2-1-3-11-3-0,1700479260806-2-1-3-11-3,1,Central,Happiness,Happiness,True,True,False,1.0,1,0,False
1700479260806-2-1-3-11-3-1,1700479260806-2-1-3-11-3,1,Side,Happiness,Happiness,True,True,False,1.0,1,0,False
1700479262241-2-1-3-12-4-0,1700479262241-2-1-3-12-4,1,Central,Neutral,Neutral,True,True,False,5.0,8,3,False
1700479262241-2-1-3-12-4-1,1700479262241-2-1-3-12-4,1,Side,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479264139-2-1-3-13-6-0,1700479264139-2-1-3-13-6,1,Central,Surprise,Surprise,True,True,False,17.0,17,1,False
1700479264139-2-1-3-13-6-1,1700479264139-2-1-3-13-6,1,Side,Surprise,Surprise,True,True,False,12.0,12,1,False
1700479265444-2-1-3-14-4-0,1700479265444-2-1-3-14-4,1,Central,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479265444-2-1-3-14-4-1,1700479265444-2-1-3-14-4,1,Side,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479274174-2-1-3-18-1-0,1700479274174-2-1-3-18-1,1,Central,Disgust,Disgust,True,True,False,19.0,19,2,False
1700479274174-2-1-3-18-1-1,1700479274174-2-1-3-18-1,1,Side,Disgust,Disgust,True,True,False,16.0,16,3,False
1700479276498-2-1-3-19-6-0,1700479276498-2-1-3-19-6,1,Central,Surprise,Surprise,True,True,False,20.0,20,1,False
1700479276498-2-1-3-19-6-1,1700479276498-2-1-3-19-6,1,Side,Surprise,Surprise,True,True,False,16.0,16,1,False
1700479278671-2-1-3-20-2-0,1700479278671-2-1-3-20-2,1,Central,Fear,Disgust,False,True,False,1.0,19,1,True
1700479278671-2-1-3-20-2-1,1700479278671-2-1-3-20-2,1,Side,Fear,Fear,True,True,False,1.0,1,0,False
1700479411435-2-1-4-0-1-0,1700479411435-2-1-4-0-1,1,Central,Disgust,Fear,False,True,False,1.0,12,1,True
1700479411435-2-1-4-0-1-1,1700479411435-2-1-4-0-1,1,Side,Disgust,Fear,False,True,False,1.0,5,1,True
1700479413527-2-1-4-1-5-0,1700479413527-2-1-4-1-5,1,Central,Sadness,Sadness,True,True,False,5.0,5,1,False
1700479413527-2-1-4-1-5-1,1700479413527-2-1-4-1-5,1,Side,Sadness,Sadness,True,True,False,1.0,1,0,False
1700479417615-2-1-4-3-6-0,1700479417615-2-1-4-3-6,1,Central,Surprise,Surprise,True,True,False,10.0,10,1,False
1700479417615-2-1-4-3-6-1,1700479417615-2-1-4-3-6,1,Side,Surprise,Surprise,True,True,False,5.0,5,1,False
1700479420641-2-1-4-5-4-0,1700479420641-2-1-4-5-4,1,Central,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479420641-2-1-4-5-4-1,1700479420641-2-1-4-5-4,1,Side,Neutral,Neutral,True,True,False,1.0,1,0,False
1700479422411-2-1-4-6-3-0,1700479422411-2-1-4-6-3,1,Central,Happiness,Happiness,True,True,False,15.0,15,1,False
1700479422411-2-1-4-6-3-1,1700479422411-2-1-4-6-3,1,Side,Happiness,Happiness,True,True,False,13.0,13,1,False
1700479424021-2-1-4-7-0-0,1700479424021-2-1-4-7-0,1,Central,Anger,Sadness,False,False,True,,25,1,False
1700479424021-2-1-4-7-0-1,1700479424021-2-1-4-7-0,1,Side,Anger,Sadness,False,False,True,,25,1,False
1700479426367-2-1-4-8-5-0,1700479426367-2-1-4-8-5,1,Central,Sadness,Sadness,True,True,False,9.0,9,1,False
1700479426367-2-1-4-8-5-1,1700479426367-2-1-4-8-5,1,Side,Sadness,Sadness,True,True,False,5.0,5,1,False
1700479427742-2-1-4-9-2-0,1700479427742-2-1-4-9-2,1,Central,Fear,Fear,True,True,False,21.0,21,3,False
1700479427742-2-1-4-9-2-1,1700479427742-2-1-4-9-2,1,Side,Fear,Fear,True,True,False,17.0,17,1,False
1700479432977-2-1-4-12-1-0,1700479432977-2-1-4-12-1,1,Central,Disgust,Disgust,True,True,False,25.0,25,1,False
1700479432977-2-1-4-12-1-1,1700479432977-2-1-4-12-1,1,Side,Disgust,Disgust,True,True,False,19.0,19,2,False
1700479435090-2-1-4-13-3-0,1700479435090-2-1-4-13-3,1,Central,Happiness,Happiness,True,True,False,1.0,1,0,False
1700479435090-2-1-4-13-3-1,1700479435090-2-1-4-13-3,1,Side,Happiness,Happiness,True,True,False,1.0,1,0,False
1700479438658-2-1-4-15-1-0,1700479438658-2-1-4-15-1,1,Central,Disgust,Disgust,True,True,False,24.0,24,4,False
1700479438658-2-1-4-15-1-1,1700479438658-2-1-4-15-1,1,Side,Disgust,Disgust,True,True,False,21.0,21,4,False
1700479442178-2-1-4-17-5-0,1700479442178-2-1-4-17-5,1,Central,Sadness,Sadness,True,True,False,20.0,20,1,False
1700479442178-2-1-4-17-5-1,1700479442178-2-1-4-17-5,1,Side,Sadness,Sadness,True,True,False,17.0,17,1,False
1700479445256-2-1-4-19-6-0,1700479445256-2-1-4-19-6,1,Central,Surprise,Surprise,True,True,False,11.0,11,1,False
1700479445256-2-1-4-19-6-1,1700479445256-2-1-4-19-6,1,Side,Surprise,Surprise,True,True,False,9.0,9,1,False
1700479447373-2-1-4-20-5-0,1700479447373-2-1-4-20-5,1,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700479447373-2-1-4-20-5-1,1700479447373-2-1-4-20-5,1,Side,Sadness,Sadness,True,True,False,1.0,1,0,False
1700479452800-2-1-4-23-2-0,1700479452800-2-1-4-23-2,1,Central,Fear,Fear,True,True,False,21.0,21,1,False
1700479452800-2-1-4-23-2-1,1700479452800-2-1-4-23-2,1,Side,Fear,Fear,True,True,False,19.0,19,1,False
1700479457287-2-1-4-26-1-0,1700479457287-2-1-4-26-1,1,Central,Disgust,Disgust,True,True,False,26.0,26,3,False
1700479457287-2-1-4-26-1-1,1700479457287-2-1-4-26-1,1,Side,Disgust,Disgust,True,True,False,22.0,22,2,False
1700479459026-2-1-4-27-6-0,1700479459026-2-1-4-27-6,1,Central,Surprise,Surprise,True,True,False,22.0,22,3,False
1700479459026-2-1-4-27-6-1,1700479459026-2-1-4-27-6,1,Side,Surprise,Surprise,True,True,False,18.0,18,1,False
1700567688235-2-8-1-0-0-0,1700567688235-2-8-1-0-0,8,Central,Anger,Disgust,False,True,False,2.0,3,2,True
1700567688235-2-8-1-0-0-1,1700567688235-2-8-1-0-0,8,Side,Anger,Disgust,False,False,True,,1,0,False
1700567691497-2-8-1-1-5-0,1700567691497-2-8-1-1-5,8,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700567691497-2-8-1-1-5-1,1700567691497-2-8-1-1-5,8,Side,Sadness,Sadness,True,True,False,29.0,29,8,False
1700567693686-2-8-1-2-3-0,1700567693686-2-8-1-2-3,8,Central,Happiness,Happiness,True,True,False,23.0,23,1,False
1700567693686-2-8-1-2-3-1,1700567693686-2-8-1-2-3,8,Side,Happiness,Happiness,True,True,False,23.0,27,4,False
1700567695958-2-8-1-3-0-0,1700567695958-2-8-1-3-0,8,Central,Anger,Disgust,False,False,True,,1,0,False
1700567695958-2-8-1-3-0-1,1700567695958-2-8-1-3-0,8,Side,Anger,Disgust,False,True,False,10.0,21,5,True
1700567698824-2-8-1-4-0-0,1700567698824-2-8-1-4-0,8,Central,Anger,Disgust,False,True,False,1.0,19,3,True
1700567698824-2-8-1-4-0-1,1700567698824-2-8-1-4-0,8,Side,Anger,Disgust,False,True,False,1.0,17,1,True
1700567702985-2-8-1-6-3-0,1700567702985-2-8-1-6-3,8,Central,Happiness,Anger,False,False,True,,10,1,False
1700567702985-2-8-1-6-3-1,1700567702985-2-8-1-6-3,8,Side,Happiness,Anger,False,False,True,,1,0,False
1700567706828-2-8-1-7-5-0,1700567706828-2-8-1-7-5,8,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700567706828-2-8-1-7-5-1,1700567706828-2-8-1-7-5,8,Side,Sadness,Anger,False,False,True,,1,0,False
1700567708570-2-8-1-8-3-0,1700567708570-2-8-1-8-3,8,Central,Happiness,Happiness,True,True,False,29.0,29,7,False
1700567708570-2-8-1-8-3-1,1700567708570-2-8-1-8-3,8,Side,Happiness,Disgust,False,True,False,28.0,29,3,True
1700567787758-2-8-2-1-1-0,1700567787758-2-8-2-1-1,8,Central,Disgust,Disgust,True,True,False,5.0,13,3,False
1700567787758-2-8-2-1-1-1,1700567787758-2-8-2-1-1,8,Side,Disgust,Disgust,True,True,False,3.0,9,3,False
1700567790485-2-8-2-2-6-0,1700567790485-2-8-2-2-6,8,Central,Surprise,Disgust,False,False,True,,29,1,False
1700567790485-2-8-2-2-6-1,1700567790485-2-8-2-2-6,8,Side,Surprise,Surprise,True,True,False,27.0,27,2,False
1700567792669-2-8-2-3-2-0,1700567792669-2-8-2-3-2,8,Central,Fear,Disgust,False,True,False,9.0,23,4,True
1700567792669-2-8-2-3-2-1,1700567792669-2-8-2-3-2,8,Side,Fear,Fear,True,True,False,1.0,27,10,False
1700567795123-2-8-2-4-1-0,1700567795123-2-8-2-4-1,8,Central,Disgust,Disgust,True,True,False,2.0,2,1,False
1700567795123-2-8-2-4-1-1,1700567795123-2-8-2-4-1,8,Side,Disgust,Disgust,True,True,False,8.0,8,1,False
1700567799982-2-8-2-6-2-0,1700567799982-2-8-2-6-2,8,Central,Fear,Fear,True,True,False,28.0,28,3,False
1700567799982-2-8-2-6-2-1,1700567799982-2-8-2-6-2,8,Side,Fear,Disgust,False,False,True,,1,0,False
1700567803057-2-8-2-7-4-0,1700567803057-2-8-2-7-4,8,Central,Neutral,Sadness,False,False,True,,1,0,False
1700567803057-2-8-2-7-4-1,1700567803057-2-8-2-7-4,8,Side,Neutral,Anger,False,False,True,,8,2,False
1700567804174-2-8-2-8-6-0,1700567804174-2-8-2-8-6,8,Central,Surprise,Surprise,True,True,False,22.0,22,1,False
1700567804174-2-8-2-8-6-1,1700567804174-2-8-2-8-6,8,Side,Surprise,Surprise,True,True,False,18.0,18,1,False
1700567807289-2-8-2-9-6-0,1700567807289-2-8-2-9-6,8,Central,Surprise,Sadness,False,False,True,,1,0,False
1700567807289-2-8-2-9-6-1,1700567807289-2-8-2-9-6,8,Side,Surprise,Surprise,True,True,False,28.0,28,3,False
1700567809324-2-8-2-10-2-0,1700567809324-2-8-2-10-2,8,Central,Fear,Fear,True,True,False,1.0,19,2,False
1700567809324-2-8-2-10-2-1,1700567809324-2-8-2-10-2,8,Side,Fear,Fear,True,True,False,2.0,28,3,False
1700567812479-2-8-2-11-4-0,1700567812479-2-8-2-11-4,8,Central,Neutral,Sadness,False,True,False,2.0,3,2,True
1700567812479-2-8-2-11-4-1,1700567812479-2-8-2-11-4,8,Side,Neutral,Anger,False,False,True,,17,2,False
1700567902030-2-8-3-0-4-0,1700567902030-2-8-3-0-4,8,Central,Neutral,Sadness,False,False,True,,25,4,False
1700567902030-2-8-3-0-4-1,1700567902030-2-8-3-0-4,8,Side,Neutral,Anger,False,False,True,,1,0,False
1700567903352-2-8-3-1-1-0,1700567903352-2-8-3-1-1,8,Central,Disgust,Disgust,True,True,False,11.0,11,1,False
1700567903352-2-8-3-1-1-1,1700567903352-2-8-3-1-1,8,Side,Disgust,Disgust,True,True,False,8.0,8,1,False
1700567906760-2-8-3-2-0-0,1700567906760-2-8-3-2-0,8,Central,Anger,Disgust,False,True,False,1.0,8,1,True
1700567906760-2-8-3-2-0-1,1700567906760-2-8-3-2-0,8,Side,Anger,Disgust,False,True,False,1.0,7,1,True
1700567907954-2-8-3-3-6-0,1700567907954-2-8-3-3-6,8,Central,Surprise,Surprise,True,True,False,26.0,26,3,False
1700567907954-2-8-3-3-6-1,1700567907954-2-8-3-3-6,8,Side,Surprise,Surprise,True,True,False,21.0,21,1,False
1700567911689-2-8-3-5-2-0,1700567911689-2-8-3-5-2,8,Central,Fear,Disgust,False,True,False,3.0,21,2,True
1700567911689-2-8-3-5-2-1,1700567911689-2-8-3-5-2,8,Side,Fear,Fear,True,True,False,1.0,9,2,False
1700567914515-2-8-3-6-5-0,1700567914515-2-8-3-6-5,8,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700567914515-2-8-3-6-5-1,1700567914515-2-8-3-6-5,8,Side,Sadness,Sadness,True,True,False,2.0,2,1,False
1700567916813-2-8-3-7-5-0,1700567916813-2-8-3-7-5,8,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700567916813-2-8-3-7-5-1,1700567916813-2-8-3-7-5,8,Side,Sadness,Anger,False,True,False,1.0,30,3,True
1700567918385-2-8-3-8-0-0,1700567918385-2-8-3-8-0,8,Central,Anger,Disgust,False,True,False,17.0,21,2,True
1700567918385-2-8-3-8-0-1,1700567918385-2-8-3-8-0,8,Side,Anger,Disgust,False,True,False,1.0,18,3,True
1700567920333-2-8-3-9-1-0,1700567920333-2-8-3-9-1,8,Central,Disgust,Disgust,True,True,False,17.0,17,1,False
1700567920333-2-8-3-9-1-1,1700567920333-2-8-3-9-1,8,Side,Disgust,Disgust,True,True,False,12.0,16,4,False
1700567922812-2-8-3-10-0-0,1700567922812-2-8-3-10-0,8,Central,Anger,Disgust,False,True,False,4.0,19,3,True
1700567922812-2-8-3-10-0-1,1700567922812-2-8-3-10-0,8,Side,Anger,Disgust,False,True,False,1.0,18,1,True
1700567926584-2-8-3-12-4-0,1700567926584-2-8-3-12-4,8,Central,Neutral,Sadness,False,False,True,,1,0,False
1700567926584-2-8-3-12-4-1,1700567926584-2-8-3-12-4,8,Side,Neutral,Anger,False,False,True,,1,0,False
1700567928618-2-8-3-13-6-0,1700567928618-2-8-3-13-6,8,Central,Surprise,Surprise,True,True,False,10.0,10,3,False
1700567928618-2-8-3-13-6-1,1700567928618-2-8-3-13-6,8,Side,Surprise,Surprise,True,True,False,5.0,5,2,False
1700567932221-2-8-3-15-5-0,1700567932221-2-8-3-15-5,8,Central,Sadness,Sadness,True,True,False,1.0,4,2,False
1700567932221-2-8-3-15-5-1,1700567932221-2-8-3-15-5,8,Side,Sadness,Sadness,True,True,False,13.0,13,1,False
1700567934618-2-8-3-16-2-0,1700567934618-2-8-3-16-2,8,Central,Fear,Disgust,False,True,False,13.0,19,3,True
1700567934618-2-8-3-16-2-1,1700567934618-2-8-3-16-2,8,Side,Fear,Fear,True,True,False,2.0,2,1,False
1700567938373-2-8-3-18-1-0,1700567938373-2-8-3-18-1,8,Central,Disgust,Disgust,True,True,False,1.0,1,0,False
1700567938373-2-8-3-18-1-1,1700567938373-2-8-3-18-1,8,Side,Disgust,Disgust,True,True,False,1.0,5,2,False
1700567942412-2-8-3-20-2-0,1700567942412-2-8-3-20-2,8,Central,Fear,Fear,True,True,False,17.0,17,1,False
1700567942412-2-8-3-20-2-1,1700567942412-2-8-3-20-2,8,Side,Fear,Fear,True,True,False,1.0,1,0,False
1700568075798-2-8-4-0-1-0,1700568075798-2-8-4-0-1,8,Central,Disgust,Disgust,True,True,False,1.0,1,0,False
1700568075798-2-8-4-0-1-1,1700568075798-2-8-4-0-1,8,Side,Disgust,Disgust,True,True,False,1.0,1,0,False
1700568077758-2-8-4-1-5-0,1700568077758-2-8-4-1-5,8,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700568077758-2-8-4-1-5-1,1700568077758-2-8-4-1-5,8,Side,Sadness,Sadness,True,True,False,1.0,1,0,False
1700568081350-2-8-4-3-6-0,1700568081350-2-8-4-3-6,8,Central,Surprise,Surprise,True,True,False,8.0,8,1,False
1700568081350-2-8-4-3-6-1,1700568081350-2-8-4-3-6,8,Side,Surprise,Surprise,True,True,False,5.0,5,2,False
1700568082939-2-8-4-4-4-0,1700568082939-2-8-4-4-4,8,Central,Neutral,Sadness,False,False,True,,4,1,False
1700568082939-2-8-4-4-4-1,1700568082939-2-8-4-4-4,8,Side,Neutral,Anger,False,False,True,,2,1,False
1700568086128-2-8-4-6-3-0,1700568086128-2-8-4-6-3,8,Central,Happiness,Happiness,True,True,False,27.0,27,7,False
1700568086128-2-8-4-6-3-1,1700568086128-2-8-4-6-3,8,Side,Happiness,Disgust,False,False,True,,21,1,False
1700568088202-2-8-4-7-0-0,1700568088202-2-8-4-7-0,8,Central,Anger,Disgust,False,False,True,,1,0,False
1700568088202-2-8-4-7-0-1,1700568088202-2-8-4-7-0,8,Side,Anger,Disgust,False,False,True,,5,3,False
1700568090919-2-8-4-9-2-0,1700568090919-2-8-4-9-2,8,Central,Fear,Fear,True,True,False,19.0,19,1,False
1700568090919-2-8-4-9-2-1,1700568090919-2-8-4-9-2,8,Side,Fear,Fear,True,True,False,1.0,18,2,False
1700568092978-2-8-4-10-0-0,1700568092978-2-8-4-10-0,8,Central,Anger,Disgust,False,False,True,,3,1,False
1700568092978-2-8-4-10-0-1,1700568092978-2-8-4-10-0,8,Side,Anger,Disgust,False,True,False,1.0,20,6,True
1700568095008-2-8-4-11-3-0,1700568095008-2-8-4-11-3,8,Central,Happiness,Happiness,True,True,False,19.0,19,4,False
1700568095008-2-8-4-11-3-1,1700568095008-2-8-4-11-3,8,Side,Happiness,Anger,False,False,True,,1,0,False
1700568096451-2-8-4-12-1-0,1700568096451-2-8-4-12-1,8,Central,Disgust,Disgust,True,True,False,1.0,10,4,False
1700568096451-2-8-4-12-1-1,1700568096451-2-8-4-12-1,8,Side,Disgust,Disgust,True,True,False,10.0,18,3,False
1700568100175-2-8-4-14-0-0,1700568100175-2-8-4-14-0,8,Central,Anger,Disgust,False,False,True,,2,1,False
1700568100175-2-8-4-14-0-1,1700568100175-2-8-4-14-0,8,Side,Anger,Disgust,False,True,False,5.0,22,6,True
1700568102387-2-8-4-15-1-0,1700568102387-2-8-4-15-1,8,Central,Disgust,Disgust,True,True,False,11.0,11,1,False
1700568102387-2-8-4-15-1-1,1700568102387-2-8-4-15-1,8,Side,Disgust,Disgust,True,True,False,3.0,3,1,False
1700568103657-2-8-4-16-2-0,1700568103657-2-8-4-16-2,8,Central,Fear,Fear,True,True,False,27.0,27,1,False
1700568103657-2-8-4-16-2-1,1700568103657-2-8-4-16-2,8,Side,Fear,Disgust,False,True,False,2.0,21,4,True
1700568107499-2-8-4-18-4-0,1700568107499-2-8-4-18-4,8,Central,Neutral,Sadness,False,False,True,,1,0,False
1700568107499-2-8-4-18-4-1,1700568107499-2-8-4-18-4,8,Side,Neutral,Anger,False,True,False,6.0,8,2,True
1700568112955-2-8-4-21-6-0,1700568112955-2-8-4-21-6,8,Central,Surprise,Surprise,True,True,False,11.0,11,3,False
1700568112955-2-8-4-21-6-1,1700568112955-2-8-4-21-6,8,Side,Surprise,Surprise,True,True,False,8.0,8,3,False
1700568114265-2-8-4-22-0-0,1700568114265-2-8-4-22-0,8,Central,Anger,Disgust,False,False,True,,21,3,False
1700568114265-2-8-4-22-0-1,1700568114265-2-8-4-22-0,8,Side,Anger,Disgust,False,True,False,1.0,18,5,True
1700568116382-2-8-4-23-2-0,1700568116382-2-8-4-23-2,8,Central,Fear,Fear,True,True,False,19.0,19,2,False
1700568116382-2-8-4-23-2-1,1700568116382-2-8-4-23-2,8,Side,Fear,Fear,True,True,False,10.0,10,2,False
1700568118260-2-8-4-24-3-0,1700568118260-2-8-4-24-3,8,Central,Happiness,Anger,False,True,False,17.0,18,3,True
1700568118260-2-8-4-24-3-1,1700568118260-2-8-4-24-3,8,Side,Happiness,Anger,False,False,True,,27,3,False
1700568119916-2-8-4-25-2-0,1700568119916-2-8-4-25-2,8,Central,Fear,Fear,True,True,False,17.0,17,6,False
1700568119916-2-8-4-25-2-1,1700568119916-2-8-4-25-2,8,Side,Fear,Fear,True,True,False,14.0,14,1,False
1700568121727-2-8-4-26-1-0,1700568121727-2-8-4-26-1,8,Central,Disgust,Disgust,True,True,False,2.0,2,1,False
1700568121727-2-8-4-26-1-1,1700568121727-2-8-4-26-1,8,Side,Disgust,Disgust,True,True,False,6.0,6,1,False
1700577641790-2-10-1-1-5-0,1700577641790-2-10-1-1-5,10,Central,Sadness,Sadness,True,True,False,1.0,1,0,False
1700577641790-2-10-1-1-5-1,1700577641790-2-10-1-1-5,10,Side,Sadness,Sadness,True,True,False,1.0,1,0,False
1700577644246-2-10-1-2-3-0,1700577644246-2-10-1-2-3,10,Central,Happiness,Happiness,True,True,False,1.0,1,0,False
1700577644246-2-10-1-2-3-1,1700577644246-2-10-1-2-3,10,Side,Happiness,Happiness,True,True,False,1.0,1,0,False
1700577653948-2-10-1-6-3-0,1700577653948-2-10-1-6-3,10,Central,Happiness,Happiness,True,True,False,3.0,3,2,False
1700577653948-2-10-1-6-3-1,1700577653948-2-10-1-6-3,10,Side,Happiness,Happiness,True,True,False,2.0,22,3,False
1700577659103-2-10-1-8-3-0,1700577659103-2-10-1-8-3,10,Central,Happiness,Happiness,True,True,False,1.0,10,2,False
1700577659103-2-10-1-8-3-1,1700577659103-2-10-1-8-3,10,Side,Happiness,Happiness,True,True,False,1.0,1,0,False
1700577731858-2-10-2-0-4-0,1700577731858-2-10-2-0-4,10,Central,Neutral,Neutral,True,True,False,14.0,26,5,False
1700577731858-2-10-2-0-4-1,1700577731858-2-10-2-0-4,10,Side,Neutral,Happiness,False,False,True,,1,0,False
1700577733309-2-10-2-1-1-0,1700577733309-2-10-2-1-1,10,Central,Disgust,Neutral,False,False,True,,30,3,False
1700577733309-2-10-2-1-1-1,1700577733309-2-10-2-1-1,10,Side,Disgust,Disgust,True,True,False,29.0,29,1,False
1700577738960-2-10-2-3-2-0,1700577738960-2-10-2-3-2,10,Central,Fear,Fear,True,True,False,17.0,17,2,False
1700577738960-2-10-2-3-2-1,1700577738960-2-10-2-3-2,10,Side,Fear,Disgust,False,True,False,16.0,26,2,True
