sequence_id,sequence_timestamp,set_id,participant_id,level_id,emoji_id,true_class,final_predicted_class,correct_first,correct_final,ever_correct,first_correct_prefix,correct_through_final_from,label_switches,true_probability_first,true_probability_final,final_confidence
1700479250572-2-1-3-6-5,1700479250572,2,1,3,6,Sadness,Neutral,True,False,True,1.0,,1,0.25616133,0.33133984,0.48234797
1700479253441-2-1-3-8-0,1700479253441,2,1,3,8,Anger,Anger,False,True,True,21.0,21.0,1,0.0915841,0.92942613,0.92942613
1700479258342-2-1-3-10-0,1700479258342,2,1,3,10,Anger,Neutral,False,False,False,,,1,0.07033784,0.010297336,0.91100365
1700479260806-2-1-3-11-3,1700479260806,2,1,3,11,Happiness,Happiness,False,True,True,22.0,22.0,1,0.11027288,0.9994252,0.9994252
1700479262241-2-1-3-12-4,1700479262241,2,1,3,12,Neutral,Neutral,False,True,True,10.0,10.0,2,0.1899132,0.9614632,0.9614632
1700479264139-2-1-3-13-6,1700479264139,2,1,3,13,Surprise,Surprise,False,True,True,12.0,12.0,2,0.14785348,0.99628866,0.99628866
1700479265444-2-1-3-14-4,1700479265444,2,1,3,14,Neutral,Happiness,True,False,True,1.0,,1,0.31375802,0.14726262,0.7665262
1700479274174-2-1-3-18-1,1700479274174,2,1,3,18,Disgust,Fear,False,False,False,,,4,0.09063175,0.07066553,0.56972486
1700479276498-2-1-3-19-6,1700479276498,2,1,3,19,Surprise,Surprise,False,True,True,17.0,17.0,1,0.07173623,0.9954005,0.9954005
1700479278671-2-1-3-20-2,1700479278671,2,1,3,20,Fear,Fear,True,True,True,1.0,1.0,0,0.79289263,0.8393447,0.8393447
1700479411435-2-1-4-0-1,1700479411435,2,1,4,0,Disgust,Fear,False,False,False,,,0,0.13412282,0.008398056,0.94765425
1700479413527-2-1-4-1-5,1700479413527,2,1,4,1,Sadness,Sadness,False,True,True,3.0,3.0,1,0.13241915,0.9497314,0.9497314
1700479417615-2-1-4-3-6,1700479417615,2,1,4,3,Surprise,Surprise,False,True,True,5.0,5.0,1,0.12521993,0.9926381,0.9926381
1700479420641-2-1-4-5-4,1700479420641,2,1,4,5,Neutral,Neutral,False,True,True,27.0,27.0,1,0.12610854,0.7918116,0.7918116
1700479422411-2-1-4-6-3,1700479422411,2,1,4,6,Happiness,Happiness,False,True,True,9.0,9.0,1,0.15153056,0.9997229,0.9997229
1700479424021-2-1-4-7-0,1700479424021,2,1,4,7,Anger,Anger,False,True,True,24.0,24.0,3,0.09347272,0.9655614,0.9655614
1700479426367-2-1-4-8-5,1700479426367,2,1,4,8,Sadness,Sadness,False,True,True,7.0,7.0,1,0.110002354,0.9930736,0.9930736
1700479427742-2-1-4-9-2,1700479427742,2,1,4,9,Fear,Fear,False,True,True,17.0,17.0,1,0.18610096,0.9220234,0.9220234
1700479432977-2-1-4-12-1,1700479432977,2,1,4,12,Disgust,Surprise,False,False,False,,,2,0.12066462,0.022977652,0.6813681
1700479435090-2-1-4-13-3,1700479435090,2,1,4,13,Happiness,Happiness,True,True,True,1.0,1.0,0,0.86992973,0.99955314,0.99955314
1700479438658-2-1-4-15-1,1700479438658,2,1,4,15,Disgust,Fear,False,False,False,,,1,0.11396248,0.19751027,0.78955877
1700479442178-2-1-4-17-5,1700479442178,2,1,4,17,Sadness,Sadness,False,True,True,21.0,21.0,1,0.07220554,0.99654263,0.99654263
1700479445256-2-1-4-19-6,1700479445256,2,1,4,19,Surprise,Surprise,False,True,True,10.0,10.0,1,0.048181005,0.98152965,0.98152965
1700479447373-2-1-4-20-5,1700479447373,2,1,4,20,Sadness,Sadness,True,True,True,1.0,1.0,0,0.63415587,0.95652765,0.95652765
1700479452800-2-1-4-23-2,1700479452800,2,1,4,23,Fear,Fear,False,True,True,16.0,16.0,1,0.1856058,0.95868456,0.95868456
1700479457287-2-1-4-26-1,1700479457287,2,1,4,26,Disgust,Fear,False,False,False,,,3,0.09787941,0.2972688,0.68303037
1700479459026-2-1-4-27-6,1700479459026,2,1,4,27,Surprise,Surprise,False,True,True,17.0,17.0,2,0.13720249,0.99628323,0.99628323
1700567688235-2-8-1-0-0,1700567688235,2,8,1,0,Anger,Disgust,False,False,False,,,0,0.25610524,0.0042552813,0.99499184
1700567691497-2-8-1-1-5,1700567691497,2,8,1,1,Sadness,Disgust,False,False,False,,,3,0.097939566,0.0030353377,0.92816794
1700567693686-2-8-1-2-3,1700567693686,2,8,1,2,Happiness,Happiness,False,True,True,19.0,19.0,2,0.09547903,0.99909043,0.99909043
1700567695958-2-8-1-3-0,1700567695958,2,8,1,3,Anger,Disgust,False,False,False,,,1,0.0761952,0.007629892,0.9889949
1700567698824-2-8-1-4-0,1700567698824,2,8,1,4,Anger,Disgust,False,False,False,,,1,0.06976836,0.0033093847,0.97812134
1700567702985-2-8-1-6-3,1700567702985,2,8,1,6,Happiness,Happiness,False,True,True,9.0,9.0,1,0.101082735,0.997894,0.997894
1700567706828-2-8-1-7-5,1700567706828,2,8,1,7,Sadness,Disgust,False,False,False,,,1,0.12414607,0.0044867573,0.85222495
1700567708570-2-8-1-8-3,1700567708570,2,8,1,8,Happiness,Happiness,False,True,True,18.0,18.0,2,0.13516605,0.99927217,0.99927217
1700567787758-2-8-2-1-1,1700567787758,2,8,2,1,Disgust,Disgust,False,True,True,3.0,3.0,2,0.10342197,0.9735617,0.9735617
1700567790485-2-8-2-2-6,1700567790485,2,8,2,2,Surprise,Surprise,False,True,True,25.0,25.0,1,0.1870527,0.835999,0.835999
1700567792669-2-8-2-3-2,1700567792669,2,8,2,3,Fear,Fear,True,True,True,1.0,1.0,0,0.37655976,0.7386973,0.7386973
1700567795123-2-8-2-4-1,1700567795123,2,8,2,4,Disgust,Disgust,False,True,True,10.0,10.0,1,0.08671205,0.97366613,0.97366613
1700567799982-2-8-2-6-2,1700567799982,2,8,2,6,Fear,Fear,True,True,True,1.0,1.0,0,0.26616952,0.62121814,0.62121814
1700567803057-2-8-2-7-4,1700567803057,2,8,2,7,Neutral,Neutral,True,True,True,1.0,1.0,0,0.26167345,0.6191787,0.6191787
1700567804174-2-8-2-8-6,1700567804174,2,8,2,8,Surprise,Surprise,False,True,True,17.0,17.0,1,0.16941448,0.98528594,0.98528594
1700567807289-2-8-2-9-6,1700567807289,2,8,2,9,Surprise,Surprise,False,True,True,27.0,27.0,1,0.20657268,0.8804943,0.8804943
1700567809324-2-8-2-10-2,1700567809324,2,8,2,10,Fear,Fear,True,True,True,1.0,1.0,0,0.33689508,0.73480475,0.73480475
1700567812479-2-8-2-11-4,1700567812479,2,8,2,11,Neutral,Neutral,True,True,True,1.0,1.0,0,0.27869582,0.7616607,0.7616607
1700567902030-2-8-3-0-4,1700567902030,2,8,3,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.28658026,0.9553657,0.9553657
1700567903352-2-8-3-1-1,1700567903352,2,8,3,1,Disgust,Disgust,False,True,True,17.0,17.0,2,0.08629496,0.84385896,0.84385896
1700567906760-2-8-3-2-0,1700567906760,2,8,3,2,Anger,Disgust,False,False,False,,,0,0.28008786,0.0013464035,0.9394524
1700567907954-2-8-3-3-6,1700567907954,2,8,3,3,Surprise,Surprise,False,True,True,18.0,18.0,1,0.13519202,0.9914364,0.9914364
1700567911689-2-8-3-5-2,1700567911689,2,8,3,5,Fear,Fear,False,True,True,5.0,5.0,1,0.20987822,0.6725485,0.6725485
1700567914515-2-8-3-6-5,1700567914515,2,8,3,6,Sadness,Disgust,False,False,False,,,2,0.11340027,0.0005553107,0.9859752
1700567916813-2-8-3-7-5,1700567916813,2,8,3,7,Sadness,Disgust,False,False,False,,,0,0.0300088,0.00964941,0.79847217
1700567918385-2-8-3-8-0,1700567918385,2,8,3,8,Anger,Disgust,False,False,False,,,1,0.07074896,0.0025183144,0.9722964
1700567920333-2-8-3-9-1,1700567920333,2,8,3,9,Disgust,Disgust,False,True,True,26.0,26.0,2,0.08085027,0.69927657,0.69927657
1700567922812-2-8-3-10-0,1700567922812,2,8,3,10,Anger,Disgust,False,False,False,,,0,0.27444828,0.001665426,0.9732895
1700567926584-2-8-3-12-4,1700567926584,2,8,3,12,Neutral,Neutral,True,True,True,1.0,1.0,0,0.31164008,0.75604385,0.75604385
1700567928618-2-8-3-13-6,1700567928618,2,8,3,13,Surprise,Surprise,False,True,True,5.0,5.0,1,0.20462783,0.89179415,0.89179415
1700567932221-2-8-3-15-5,1700567932221,2,8,3,15,Sadness,Fear,False,False,False,,,0,0.09164882,0.0039119828,0.7717299
1700567934618-2-8-3-16-2,1700567934618,2,8,3,16,Fear,Fear,True,True,True,1.0,1.0,0,0.46616063,0.6545604,0.6545604
1700567938373-2-8-3-18-1,1700567938373,2,8,3,18,Disgust,Disgust,False,True,True,7.0,7.0,2,0.07655234,0.9933073,0.9933073
1700567942412-2-8-3-20-2,1700567942412,2,8,3,20,Fear,Fear,True,True,True,1.0,1.0,0,0.25093564,0.6324014,0.6324014
1700568075798-2-8-4-0-1,1700568075798,2,8,4,0,Disgust,Disgust,True,True,True,1.0,1.0,0,0.20961688,0.9917018,0.9917018
1700568077758-2-8-4-1-5,1700568077758,2,8,4,1,Sadness,Sadness,False,True,True,2.0,20.0,5,0.24034278,0.8078579,0.8078579
1700568081350-2-8-4-3-6,1700568081350,2,8,4,3,Surprise,Surprise,False,True,True,2.0,2.0,1,0.37094915,0.9123975,0.9123975
1700568082939-2-8-4-4-4,1700568082939,2,8,4,4,Neutral,Neutral,True,True,True,1.0,1.0,0,0.2611584,0.9518833,0.9518833
1700568086128-2-8-4-6-3,1700568086128,2,8,4,6,Happiness,Happiness,False,True,True,22.0,22.0,2,0.09284644,0.99902046,0.99902046
1700568088202-2-8-4-7-0,1700568088202,2,8,4,7,Anger,Disgust,False,False,False,,,2,0.081136376,0.0022011632,0.9839298
1700568090919-2-8-4-9-2,1700568090919,2,8,4,9,Fear,Fear,False,True,True,9.0,9.0,1,0.20905793,0.6233708,0.6233708
1700568092978-2-8-4-10-0,1700568092978,2,8,4,10,Anger,Disgust,False,False,False,,,2,0.101420395,0.0052155657,0.9918873
1700568095008-2-8-4-11-3,1700568095008,2,8,4,11,Happiness,Happiness,False,True,True,8.0,8.0,1,0.11742101,0.9985557,0.9985557
1700568096451-2-8-4-12-1,1700568096451,2,8,4,12,Disgust,Disgust,False,True,True,22.0,22.0,2,0.093229614,0.9816259,0.9816259
1700568100175-2-8-4-14-0,1700568100175,2,8,4,14,Anger,Fear,False,False,False,,,1,0.09235488,0.0016800606,0.5203801
1700568102387-2-8-4-15-1,1700568102387,2,8,4,15,Disgust,Disgust,False,True,True,18.0,18.0,2,0.08409599,0.99192315,0.99192315
1700568103657-2-8-4-16-2,1700568103657,2,8,4,16,Fear,Fear,False,True,True,12.0,12.0,1,0.1944047,0.5734731,0.5734731
1700568107499-2-8-4-18-4,1700568107499,2,8,4,18,Neutral,Neutral,True,True,True,1.0,1.0,0,0.30767566,0.717592,0.717592
1700568112955-2-8-4-21-6,1700568112955,2,8,4,21,Surprise,Surprise,False,True,True,6.0,6.0,2,0.16248527,0.99395025,0.99395025
1700568114265-2-8-4-22-0,1700568114265,2,8,4,22,Anger,Disgust,False,False,False,,,1,0.06853135,0.004421016,0.96004486
1700568116382-2-8-4-23-2,1700568116382,2,8,4,23,Fear,Fear,True,True,True,1.0,1.0,0,0.2383274,0.5916052,0.5916052
1700568118260-2-8-4-24-3,1700568118260,2,8,4,24,Happiness,Happiness,False,True,True,5.0,5.0,1,0.086290546,0.9979528,0.9979528
1700568119916-2-8-4-25-2,1700568119916,2,8,4,25,Fear,Fear,False,True,True,5.0,5.0,1,0.20793952,0.58053553,0.58053553
1700568121727-2-8-4-26-1,1700568121727,2,8,4,26,Disgust,Disgust,False,True,True,15.0,15.0,1,0.081489615,0.9814944,0.9814944
1700577641790-2-10-1-1-5,1700577641790,2,10,1,1,Sadness,Sadness,True,True,True,1.0,1.0,0,0.6019131,0.9147184,0.9147184
1700577644246-2-10-1-2-3,1700577644246,2,10,1,2,Happiness,Happiness,True,True,True,1.0,1.0,0,0.51591045,0.9995561,0.9995561
1700577653948-2-10-1-6-3,1700577653948,2,10,1,6,Happiness,Happiness,True,True,True,1.0,1.0,0,0.2471212,0.99967384,0.99967384
1700577659103-2-10-1-8-3,1700577659103,2,10,1,8,Happiness,Happiness,False,True,True,4.0,4.0,1,0.19508378,0.9997017,0.9997017
1700577731858-2-10-2-0-4,1700577731858,2,10,2,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.23784773,0.9513548,0.9513548
1700577733309-2-10-2-1-1,1700577733309,2,10,2,1,Disgust,Happiness,False,False,False,,,1,0.097036816,0.29128996,0.31051305
1700577738960-2-10-2-3-2,1700577738960,2,10,2,3,Fear,Fear,False,True,True,12.0,28.0,3,0.150952,0.577566,0.577566
1700577740656-2-10-2-4-1,1700577740656,2,10,2,4,Disgust,Disgust,False,True,True,26.0,26.0,3,0.14042923,0.772126,0.772126
1700577744274-2-10-2-5-1,1700577744274,2,10,2,5,Disgust,Happiness,False,False,False,,,0,0.11402172,0.017706323,0.9372802
1700577751365-2-10-2-8-6,1700577751365,2,10,2,8,Surprise,Surprise,False,True,True,22.0,22.0,2,0.12787098,0.959971,0.959971
1700577753271-2-10-2-9-6,1700577753271,2,10,2,9,Surprise,Surprise,False,True,True,27.0,27.0,3,0.15171812,0.62160695,0.62160695
1700577756759-2-10-2-10-2,1700577756759,2,10,2,10,Fear,Fear,False,True,True,8.0,8.0,1,0.19626135,0.50418115,0.50418115
1700577759366-2-10-2-11-4,1700577759366,2,10,2,11,Neutral,Neutral,True,True,True,1.0,1.0,0,0.31776828,0.9847547,0.9847547
1700577839039-2-10-3-0-4,1700577839039,2,10,3,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.26891822,0.46827823,0.46827823
1700577841033-2-10-3-1-1,1700577841033,2,10,3,1,Disgust,Happiness,False,False,False,,,0,0.09500942,0.0003195838,0.99914825
1700577843732-2-10-3-2-0,1700577843732,2,10,3,2,Anger,Anger,False,True,True,8.0,8.0,1,0.09021483,0.8769112,0.8769112
1700577847201-2-10-3-4-3,1700577847201,2,10,3,4,Happiness,Happiness,False,True,True,16.0,16.0,1,0.09601287,0.99968255,0.99968255
1700577849695-2-10-3-5-2,1700577849695,2,10,3,5,Fear,Happiness,False,False,False,,,0,0.07159786,0.00930071,0.986571
1700577851526-2-10-3-6-5,1700577851526,2,10,3,6,Sadness,Sadness,False,True,True,22.0,22.0,2,0.056260172,0.9901877,0.9901877
1700577854173-2-10-3-7-5,1700577854173,2,10,3,7,Sadness,Sadness,False,True,True,18.0,18.0,1,0.2330092,0.9654214,0.9654214
1700577855799-2-10-3-8-0,1700577855799,2,10,3,8,Anger,Disgust,False,False,True,15.0,,2,0.03256263,0.019285865,0.976651
1700577857687-2-10-3-9-1,1700577857687,2,10,3,9,Disgust,Neutral,False,False,False,,,0,0.14596997,0.20948926,0.48980615
1700577863441-2-10-3-12-4,1700577863441,2,10,3,12,Neutral,Neutral,True,True,True,1.0,26.0,2,0.23367283,0.65675044,0.65675044
1700577867123-2-10-3-14-4,1700577867123,2,10,3,14,Neutral,Neutral,False,True,True,30.0,30.0,1,0.043009885,0.42793554,0.42793554
1700577870256-2-10-3-15-5,1700577870256,2,10,3,15,Sadness,Sadness,True,True,True,1.0,1.0,0,0.51354903,0.99663913,0.99663913
1700577877659-2-10-3-19-6,1700577877659,2,10,3,19,Surprise,Surprise,False,True,True,23.0,23.0,1,0.042241555,0.90371084,0.90371084
1700577880261-2-10-3-20-2,1700577880261,2,10,3,20,Fear,Fear,False,True,True,18.0,18.0,1,0.18371473,0.7136406,0.7136406
1700578007024-2-10-4-0-1,1700578007024,2,10,4,0,Disgust,Happiness,False,False,False,,,0,0.08986319,0.00036343496,0.9994049
1700578011711-2-10-4-3-6,1700578011711,2,10,4,3,Surprise,Surprise,False,True,True,16.0,16.0,2,0.118062854,0.6550827,0.6550827
1700578014206-2-10-4-4-4,1700578014206,2,10,4,4,Neutral,Neutral,True,True,True,1.0,1.0,0,0.30778253,0.98026526,0.98026526
1700578015880-2-10-4-5-4,1700578015880,2,10,4,5,Neutral,Neutral,True,True,True,1.0,1.0,0,0.2009954,0.98536867,0.98536867
1700578017539-2-10-4-6-3,1700578017539,2,10,4,6,Happiness,Happiness,False,True,True,11.0,11.0,1,0.1071238,0.9996916,0.9996916
1700578020748-2-10-4-8-5,1700578020748,2,10,4,8,Sadness,Sadness,False,True,True,22.0,22.0,2,0.091853626,0.9643623,0.9643623
1700578022517-2-10-4-9-2,1700578022517,2,10,4,9,Fear,Fear,False,True,True,24.0,24.0,1,0.19172198,0.9864688,0.9864688
1700578026276-2-10-4-11-3,1700578026276,2,10,4,11,Happiness,Happiness,False,True,True,13.0,13.0,2,0.10822648,0.9996551,0.9996551
1700578027679-2-10-4-12-1,1700578027679,2,10,4,12,Disgust,Disgust,False,True,True,29.0,29.0,3,0.11791808,0.58685124,0.58685124
1700578029507-2-10-4-13-3,1700578029507,2,10,4,13,Happiness,Happiness,True,True,True,1.0,1.0,0,0.54512787,0.9996227,0.9996227
1700578035450-2-10-4-16-2,1700578035450,2,10,4,16,Fear,Fear,False,True,True,5.0,5.0,1,0.18304798,0.8173689,0.8173689
1700578036809-2-10-4-17-5,1700578036809,2,10,4,17,Sadness,Sadness,False,True,True,27.0,27.0,3,0.09117581,0.84471595,0.84471595
1700578042343-2-10-4-20-5,1700578042343,2,10,4,20,Sadness,Sadness,False,True,True,12.0,12.0,1,0.09243274,0.9958931,0.9958931
1700578043747-2-10-4-21-6,1700578043747,2,10,4,21,Surprise,Surprise,False,True,True,29.0,29.0,3,0.15440065,0.57068884,0.57068884
1700578045766-2-10-4-22-0,1700578045766,2,10,4,22,Anger,Disgust,False,False,False,,,3,0.08403421,0.0027620248,0.5359659
1700578047686-2-10-4-23-2,1700578047686,2,10,4,23,Fear,Neutral,False,False,True,19.0,,2,0.1822318,0.13696288,0.8355273
1700578050680-2-10-4-25-2,1700578050680,2,10,4,25,Fear,Fear,False,True,True,26.0,26.0,1,0.09457725,0.67478085,0.67478085
1700578052853-2-10-4-26-1,1700578052853,2,10,4,26,Disgust,Disgust,False,True,True,25.0,25.0,3,0.12175573,0.55708444,0.55708444
1700578053937-2-10-4-27-6,1700578053937,2,10,4,27,Surprise,Surprise,False,True,True,21.0,21.0,4,0.082623735,0.9480452,0.9480452
1700583797412-2-13-1-0-0,1700583797412,2,13,1,0,Anger,Anger,False,True,True,9.0,9.0,1,0.09970466,0.60669893,0.60669893
1700583805997-2-13-1-3-0,1700583805997,2,13,1,3,Anger,Disgust,False,False,True,4.0,,5,0.13908894,0.3732185,0.6245264
1700583807891-2-13-1-4-0,1700583807891,2,13,1,4,Anger,Anger,False,True,True,21.0,21.0,2,0.15063392,0.7413335,0.7413335
1700583813812-2-13-1-6-3,1700583813812,2,13,1,6,Happiness,Happiness,True,True,True,1.0,1.0,0,0.869494,0.99963117,0.99963117
1700583815717-2-13-1-7-5,1700583815717,2,13,1,7,Sadness,Sadness,False,True,True,8.0,8.0,4,0.107772894,0.8731429,0.8731429
1700583883653-2-13-2-0-4,1700583883653,2,13,2,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.3346537,0.9905095,0.9905095
1700583887578-2-13-2-2-6,1700583887578,2,13,2,2,Surprise,Surprise,False,True,True,19.0,19.0,2,0.11294548,0.7570636,0.7570636
1700583891213-2-13-2-3-2,1700583891213,2,13,2,3,Fear,Fear,False,True,True,3.0,19.0,3,0.21833248,0.82880753,0.82880753
1700583893370-2-13-2-4-1,1700583893370,2,13,2,4,Disgust,Disgust,False,True,True,29.0,29.0,2,0.0862005,0.5289,0.5289
1700583897868-2-13-2-6-2,1700583897868,2,13,2,6,Fear,Fear,False,True,True,28.0,28.0,1,0.16476785,0.47643292,0.47643292
1700583903979-2-13-2-8-6,1700583903979,2,13,2,8,Surprise,Surprise,False,True,True,6.0,6.0,1,0.32631093,0.9596892,0.9596892
1700583910942-2-13-2-11-4,1700583910942,2,13,2,11,Neutral,Neutral,False,True,True,5.0,18.0,3,0.120142974,0.92493314,0.92493314
1700583999169-2-13-3-0-4,1700583999169,2,13,3,0,Neutral,Neutral,True,True,True,1.0,1.0,0,0.2818879,0.9911572,0.9911572
1700584001197-2-13-3-1-1,1700584001197,2,13,3,1,Disgust,Anger,False,False,False,,,1,0.090573125,0.32281455,0.5308867
1700584007863-2-13-3-4-3,1700584007863,2,13,3,4,Happiness,Happiness,True,True,True,1.0,1.0,0,0.31961545,0.99967813,0.99967813
1700584009992-2-13-3-5-2,1700584009992,2,13,3,5,Fear,Fear,False,True,True,15.0,15.0,1,0.17473464,0.742917,0.742917
1700584012456-2-13-3-6-5,1700584012456,2,13,3,6,Sadness,Sadness,False,True,True,14.0,14.0,1,0.102976315,0.99601644,0.99601644
1700584020161-2-13-3-10-0,1700584020161,2,13,3,10,Anger,Anger,False,True,True,15.0,15.0,1,0.021134341,0.8089002,0.8089002
1700584022622-2-13-3-11-3,1700584022622,2,13,3,11,Happiness,Happiness,True,True,True,1.0,1.0,0,0.47719103,0.99933845,0.99933845
1700584023624-2-13-3-12-4,1700584023624,2,13,3,12,Neutral,Neutral,False,True,True,23.0,23.0,1,0.00970817,0.98391736,0.98391736
1700584025989-2-13-3-13-6,1700584025989,2,13,3,13,Surprise,Surprise,False,True,True,16.0,16.0,1,0.16813105,0.66294473,0.66294473
1700584027538-2-13-3-14-4,1700584027538,2,13,3,14,Neutral,Neutral,False,True,True,10.0,10.0,1,0.10210133,0.97706443,0.97706443
1700584030294-2-13-3-15-5,1700584030294,2,13,3,15,Sadness,Sadness,True,True,True,1.0,1.0,0,0.5360045,0.99894744,0.99894744
1700584032421-2-13-3-16-2,1700584032421,2,13,3,16,Fear,Fear,False,True,True,9.0,9.0,2,0.18241516,0.77548313,0.77548313
1700584034051-2-13-3-17-3,1700584034051,2,13,3,17,Happiness,Happiness,False,True,True,15.0,15.0,2,0.11557686,0.9996556,0.9996556
1700584035954-2-13-3-18-1,1700584035954,2,13,3,18,Disgust,Disgust,False,True,True,24.0,24.0,4,0.10845501,0.7288375,0.7288375
1700584037726-2-13-3-19-6,1700584037726,2,13,3,19,Surprise,Surprise,False,True,True,25.0,25.0,2,0.11416653,0.68955815,0.68955815
1700584201525-2-13-4-0-1,1700584201525,2,13,4,0,Disgust,Disgust,True,True,True,1.0,1.0,0,0.55368555,0.6881033,0.6881033
1700584204317-2-13-4-1-5,1700584204317,2,13,4,1,Sadness,Sadness,True,True,True,1.0,1.0,0,0.560387,0.996834,0.996834
1700584206113-2-13-4-2-4,1700584206113,2,13,4,2,Neutral,Neutral,True,True,True,1.0,1.0,0,0.34371623,0.99034685,0.99034685
1700584207271-2-13-4-3-6,1700584207271,2,13,4,3,Surprise,Surprise,False,True,True,19.0,19.0,2,0.121665835,0.7291202,0.7291202
1700584212931-2-13-4-6-3,1700584212931,2,13,4,6,Happiness,Happiness,False,True,True,7.0,7.0,1,0.09061763,0.999426,0.999426
1700584214184-2-13-4-7-0,1700584214184,2,13,4,7,Anger,Disgust,False,False,True,23.0,,3,0.09624615,0.049559094,0.94872594
1700584216493-2-13-4-8-5,1700584216493,2,13,4,8,Sadness,Sadness,False,True,True,20.0,20.0,2,0.09557228,0.99090755,0.99090755
1700584217663-2-13-4-9-2,1700584217663,2,13,4,9,Fear,Fear,False,True,True,24.0,24.0,2,0.03290972,0.84884953,0.84884953
1700584219640-2-13-4-10-0,1700584219640,2,13,4,10,Anger,Anger,False,True,True,21.0,21.0,2,0.0863075,0.8612404,0.8612404
1700584221354-2-13-4-11-3,1700584221354,2,13,4,11,Happiness,Happiness,True,True,True,1.0,1.0,0,0.3113561,0.99961543,0.99961543
1700584223413-2-13-4-12-1,1700584223413,2,13,4,12,Disgust,Disgust,False,True,True,2.0,2.0,1,0.12722373,0.82451075,0.82451075
1700584232123-2-13-4-17-5,1700584232123,2,13,4,17,Sadness,Sadness,False,True,True,22.0,22.0,2,0.0046954504,0.8956554,0.8956554
1700584234061-2-13-4-18-4,1700584234061,2,13,4,18,Neutral,Neutral,False,True,True,4.0,4.0,1,0.11777262,0.98855454,0.98855454
1700584237227-2-13-4-20-5,1700584237227,2,13,4,20,Sadness,Sadness,False,True,True,21.0,21.0,2,0.105827525,0.9951395,0.9951395
1700584238451-2-13-4-21-6,1700584238451,2,13,4,21,Surprise,Surprise,False,True,True,20.0,24.0,3,0.17938416,0.612991,0.612991
1700584240494-2-13-4-22-0,1700584240494,2,13,4,22,Anger,Anger,False,True,True,25.0,25.0,1,0.09365379,0.7437483,0.7437483
